date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/16 10:40:35	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/16 20:31:10	Haksndot	K9us	Acacia Log	115.0	115.0	1	world	[16, 74, -9]
2018/09/17 02:22:35	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:12	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:14	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:15	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:16	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:17	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:17	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:18	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:19	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:20	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:21	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/18 08:47:21	K9us	Haksndot	Acacia Log	118.75	950.0	8	world	[-15, 65, -7]
2018/09/30 10:40:57	K9us	Haksndot	Acacia Log	237.5	1900.0	8	world	[-15, 65, -7]
2018/10/12 10:15:30	Vrael1	Haksndot	Acacia Log	100.0	100.0	1	world	[-15, 65, -7]
2018/10/12 10:15:31	Vrael1	Haksndot	Acacia Log	100.0	100.0	1	world	[-15, 65, -7]
2018/10/12 10:15:33	Vrael1	Haksndot	Acacia Log	100.0	6400.0	64	world	[-15, 65, -7]
2018/10/14 13:30:28	sharonclaws	Haksndot	Acacia Log	200.0	12800.0	64	world	[-15, 65, -7]
2018/10/14 18:55:55	Haksndot	__Wildfire_	Acacia Log	180.0	11520.0	64	world	[34, 77, 12]
2018/10/14 18:55:58	Haksndot	__Wildfire_	Acacia Log	180.0	11520.0	64	world	[34, 77, 12]
2018/10/14 18:55:59	Haksndot	__Wildfire_	Acacia Log	180.0	11520.0	64	world	[34, 77, 12]
2018/10/14 18:56:00	Haksndot	__Wildfire_	Acacia Log	180.0	11520.0	64	world	[34, 77, 12]
2018/10/14 18:56:00	Haksndot	__Wildfire_	Acacia Log	180.0	11520.0	64	world	[34, 77, 12]
2018/10/14 18:56:01	Haksndot	__Wildfire_	Acacia Log	180.0	11520.0	64	world	[34, 77, 12]
2018/10/14 18:56:01	Haksndot	__Wildfire_	Acacia Log	180.0	11520.0	64	world	[34, 77, 12]
