year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	06	14	07	58	frozenhammerz	K9us	Acacia Planks	37.0	1369.0	37	world	[16, 72, -19]
2018	11	16	22	17	47	TechnoWiking	K9us	Acacia Planks	33.0	33.0	1	world	[15, 72, -20]
2018	11	16	22	17	49	TechnoWiking	K9us	Acacia Planks	33.0	33.0	1	world	[15, 72, -20]
2018	11	16	22	17	49	TechnoWiking	K9us	Acacia Planks	33.0	33.0	1	world	[15, 72, -20]
2018	11	16	22	17	50	TechnoWiking	K9us	Acacia Planks	33.0	33.0	1	world	[15, 72, -20]
2018	11	16	22	17	50	TechnoWiking	K9us	Acacia Planks	33.0	33.0	1	world	[15, 72, -20]
2018	11	16	22	17	51	TechnoWiking	K9us	Acacia Planks	33.0	33.0	1	world	[15, 72, -20]
2018	11	16	22	17	52	TechnoWiking	K9us	Acacia Planks	33.0	33.0	1	world	[15, 72, -20]
2018	11	16	22	17	52	TechnoWiking	K9us	Acacia Planks	33.0	33.0	1	world	[15, 72, -20]
2019	03	10	19	11	14	coconewell92	K9us	Acacia Planks	41.0	2624.0	64	world	[66, 61, -57]
2019	03	10	19	11	16	coconewell92	K9us	Acacia Planks	41.0	2624.0	64	world	[66, 61, -57]
2019	03	10	19	11	17	coconewell92	K9us	Acacia Planks	41.0	2624.0	64	world	[66, 61, -57]
2019	04	29	10	54	40	frozenhammerz	K9us	Acacia Planks	41.0	2624.0	64	world	[66, 61, -57]
2019	04	29	10	54	41	frozenhammerz	K9us	Acacia Planks	41.0	2624.0	64	world	[66, 61, -57]
2019	05	03	06	51	43	frozenhammerz	K9us	Acacia Planks	41.0	41.0	1	world	[66, 61, -57]
2019	05	03	06	51	44	frozenhammerz	K9us	Acacia Planks	41.0	41.0	1	world	[66, 61, -57]
2019	05	03	06	51	44	frozenhammerz	K9us	Acacia Planks	41.0	41.0	1	world	[66, 61, -57]
2019	05	03	06	51	56	frozenhammerz	K9us	Acacia Planks	41.0	41.0	1	world	[66, 61, -57]
2019	05	03	06	51	56	frozenhammerz	K9us	Acacia Planks	41.0	41.0	1	world	[66, 61, -57]
2019	05	03	06	51	57	frozenhammerz	K9us	Acacia Planks	41.0	41.0	1	world	[66, 61, -57]
2019	05	03	06	51	57	frozenhammerz	K9us	Acacia Planks	41.0	41.0	1	world	[66, 61, -57]
2019	05	03	06	52	01	frozenhammerz	K9us	Acacia Planks	41.0	41.0	1	world	[66, 61, -57]
2019	05	03	06	52	02	frozenhammerz	K9us	Acacia Planks	41.0	41.0	1	world	[66, 61, -57]
2019	07	30	19	15	46	Oaken_Ralph	K9us	Acacia Planks	38.0	38.0	1	world	[66, 62, -57]
2019	07	30	19	15	48	Oaken_Ralph	K9us	Acacia Planks	38.0	38.0	1	world	[66, 62, -57]
2019	07	30	19	15	48	Oaken_Ralph	K9us	Acacia Planks	38.0	38.0	1	world	[66, 62, -57]
2019	08	31	17	50	07	hyperdramallama	K9us	Acacia Planks	38.0	2432.0	64	world	[66, 62, -57]
