date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/11/28 20:08:25	freakdown	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2018/11/28 20:08:25	freakdown	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2018/11/28 20:08:27	freakdown	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2018/12/05 23:20:15	Captain_Handsome	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2018/12/09 19:26:26	pudzo	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2018/12/16 11:13:26	NorraLigan	K9us	Acacia Sapling	200.0	8200.0	41	world	[21, 71, -23]
2018/12/27 09:26:48	DIOSWILSON	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2019/01/19 22:43:27	Psyper77	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2019/01/20 01:55:35	ZeroGDucks	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2019/01/20 01:55:36	ZeroGDucks	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2019/01/24 12:55:39	monkeyboy448	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2019/02/01 13:23:17	japanimator	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2019/02/01 13:23:18	japanimator	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2019/02/01 13:23:18	japanimator	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2019/02/01 13:23:19	japanimator	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2019/02/01 13:23:25	japanimator	K9us	Acacia Sapling	200.0	200.0	1	world	[21, 71, -23]
2019/02/03 11:26:00	japanimator	Haksndot	Acacia Sapling	100.0	100.0	1	world	[-130, 63, -27]
2019/02/09 15:32:36	AshGreninja2579	Haksndot	Acacia Sapling	100.0	100.0	1	world	[-130, 63, -27]
2019/02/16 11:09:23	BelegStrongbow	Haksndot	Acacia Sapling	100.0	100.0	1	world	[-130, 63, -27]
2019/02/16 11:09:24	BelegStrongbow	Haksndot	Acacia Sapling	100.0	100.0	1	world	[-130, 63, -27]
2019/02/16 11:09:24	BelegStrongbow	Haksndot	Acacia Sapling	100.0	100.0	1	world	[-130, 63, -27]
2019/02/16 11:09:25	BelegStrongbow	Haksndot	Acacia Sapling	100.0	100.0	1	world	[-130, 63, -27]
2019/02/22 11:36:14	EnDristON	Haksndot	Acacia Sapling	100.0	100.0	1	world	[-130, 63, -27]
2019/02/22 11:36:16	EnDristON	Haksndot	Acacia Sapling	100.0	100.0	1	world	[-130, 63, -27]
2019/03/23 00:45:00	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:01	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:02	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:03	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:03	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:04	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:05	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:05	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:06	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:07	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:08	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:09	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:10	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:10	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:11	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:11	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:12	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:13	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:13	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:14	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:14	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:15	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:16	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:16	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:17	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:17	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:18	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:19	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:19	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:21	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:22	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/23 00:45:23	coconewell92	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/29 00:11:19	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/29 00:11:38	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/29 00:11:39	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/29 00:11:41	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/29 00:11:42	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/29 00:11:43	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/30 00:23:05	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/30 00:23:06	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/30 00:23:06	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/30 00:23:07	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/03/30 00:23:08	Cesium_Knight	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/04/07 19:13:45	frozenhammerz	K9us	Acacia Sapling	264.0	16896.0	64	world	[64, 62, -42]
2019/04/08 14:03:43	AshGreninja2579	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/04/08 14:03:44	AshGreninja2579	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/04/08 14:03:45	AshGreninja2579	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/04/08 14:03:45	AshGreninja2579	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/04/08 14:03:46	AshGreninja2579	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/05/03 06:53:05	frozenhammerz	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/05/03 06:53:05	frozenhammerz	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/05/03 07:25:49	frozenhammerz	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/05/03 07:25:49	frozenhammerz	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/05/03 07:25:50	frozenhammerz	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/05/04 05:22:08	Pancen	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/06/20 17:08:44	RyanJG	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/06/30 05:17:03	kahlayla	K9us	Acacia Sapling	264.0	264.0	1	world	[64, 62, -42]
2019/07/08 20:47:02	kuraudosukei	Haksndot	Acacia Sapling	100.0	100.0	1	world	[-130, 63, -27]
