year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	03	22	56	39	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	03	22	56	40	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	03	22	56	40	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	03	22	56	41	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	03	22	56	42	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	03	22	56	42	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	03	22	56	43	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	03	22	56	44	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	13	19	54	39	Shahayhay	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	13	19	54	39	Shahayhay	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	13	19	54	40	Shahayhay	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	13	19	54	41	Shahayhay	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	13	19	54	41	Shahayhay	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	13	20	24	55	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	13	20	24	56	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	13	20	24	57	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	09	13	20	24	57	sharonclaws	__Wildfire_	Andesite	1.171875	75.0	64	world	[31, 70, 5]
2018	11	27	14	52	54	Heronproject	Combat_Biscuit	Andesite	1.171875	75.0	64	world	[-44, 66, 41]
2019	02	22	14	45	49	BelegStrongbow	K9us	Andesite	4.0	256.0	64	world	[-1869, 13, 1572]
2019	02	22	14	45	50	BelegStrongbow	K9us	Andesite	4.0	256.0	64	world	[-1869, 13, 1572]
2019	02	22	14	45	51	BelegStrongbow	K9us	Andesite	4.0	256.0	64	world	[-1869, 13, 1572]
2019	02	22	14	45	52	BelegStrongbow	K9us	Andesite	4.0	256.0	64	world	[-1869, 13, 1572]
2019	03	08	11	31	56	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	31	56	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	31	58	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	31	59	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	32	02	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	44	26	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	44	27	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	44	27	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	44	28	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	44	28	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	45	21	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	45	22	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	45	23	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	45	23	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	45	24	ezrone	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	03	08	11	45	24	ezrone	K9us	Andesite	15.0	345.0	23	world	[38, 71, -24]
2019	03	28	19	57	19	TheOnlyOne69	K9us	Andesite	2.0	86.0	43	world	[-1869, 15, 1572]
2019	04	07	18	10	46	frozenhammerz	K9us	Andesite	15.0	960.0	64	world	[38, 71, -24]
2019	04	28	14	27	09	EnDristON	K9us	Andesite	15.0	15.0	1	world	[38, 71, -24]
2019	07	08	20	43	53	kuraudosukei	Combat_Biscuit	Andesite	1.171875	75.0	64	world	[-44, 66, 41]
2019	07	08	20	43	56	kuraudosukei	Combat_Biscuit	Andesite	1.171875	75.0	64	world	[-44, 66, 41]
2019	07	08	20	43	56	kuraudosukei	Combat_Biscuit	Andesite	1.171875	75.0	64	world	[-44, 66, 41]
2019	07	08	20	43	57	kuraudosukei	Combat_Biscuit	Andesite	1.171875	75.0	64	world	[-44, 66, 41]
2019	07	08	20	44	04	kuraudosukei	Combat_Biscuit	Andesite	1.171875	75.0	64	world	[-44, 66, 41]
2019	07	09	00	33	22	kuraudosukei	Combat_Biscuit	Andesite	1.1719354838709677	36.33	31	world	[-44, 66, 41]
2019	07	14	01	28	06	kuraudosukei	K9us	Andesite	2.0	128.0	64	world	[-1869, 15, 1572]
2019	07	14	01	28	07	kuraudosukei	K9us	Andesite	2.0	128.0	64	world	[-1869, 15, 1572]
2019	07	14	01	28	08	kuraudosukei	K9us	Andesite	2.0	128.0	64	world	[-1869, 15, 1572]
2019	07	14	01	28	08	kuraudosukei	K9us	Andesite	2.0	128.0	64	world	[-1869, 15, 1572]
2019	07	14	01	28	23	kuraudosukei	K9us	Andesite	2.0	128.0	64	world	[-1869, 15, 1572]
2019	07	14	01	28	25	kuraudosukei	K9us	Andesite	2.0	128.0	64	world	[-1869, 15, 1572]
2020	03	07	12	18	58	Minarchu	Downhilldriver	Andesite	1.5625	100.0	64	world	[-96, 60, 13]
2020	03	07	12	18	59	Minarchu	Downhilldriver	Andesite	1.5625	100.0	64	world	[-96, 60, 13]
2020	03	26	12	30	28	KnobbyWaffle	Downhilldriver	Andesite	1.5625	25.0	16	world	[-96, 60, 13]
2020	03	26	12	30	28	KnobbyWaffle	Downhilldriver	Andesite	1.5625	25.0	16	world	[-96, 60, 13]
2020	03	26	12	30	29	KnobbyWaffle	Downhilldriver	Andesite	1.5625	25.0	16	world	[-96, 60, 13]
2020	03	26	12	30	29	KnobbyWaffle	Downhilldriver	Andesite	1.5625	25.0	16	world	[-96, 60, 13]
2020	03	28	21	02	34	PointSight1	Downhilldriver	Andesite	1.5625	25.0	16	world	[-96, 60, 13]
