year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	12	15	24	36	TheScrubJay	sharonclaws	Anvil	440.0	440.0	1	world	[-10, 64, 13]
2018	10	30	19	41	28	Shahayhay	sharonclaws	Anvil	440.0	440.0	1	world	[-10, 64, 13]
2018	10	30	19	41	29	Shahayhay	sharonclaws	Anvil	440.0	440.0	1	world	[-10, 64, 13]
2018	10	30	19	41	30	Shahayhay	sharonclaws	Anvil	440.0	440.0	1	world	[-10, 64, 13]
2018	10	30	19	41	30	Shahayhay	sharonclaws	Anvil	440.0	440.0	1	world	[-10, 64, 13]
2018	10	30	19	41	31	Shahayhay	sharonclaws	Anvil	440.0	440.0	1	world	[-10, 64, 13]
2018	10	31	15	28	48	AteUrC00ki35	sharonclaws	Anvil	440.0	440.0	1	world	[-10, 64, 13]
2018	11	03	18	25	04	pudzo	sharonclaws	Anvil	440.0	440.0	1	world	[-10, 64, 13]
2018	11	15	05	50	13	ersi	sharonclaws	Anvil	400.0	400.0	1	world	[-8, 65, 16]
2018	11	17	23	18	11	Phantom_Ark	sharonclaws	Anvil	400.0	400.0	1	world	[-8, 65, 16]
2018	11	20	13	25	46	Stormrunners	sharonclaws	Anvil	400.0	400.0	1	world	[-8, 65, 16]
2018	11	21	22	37	33	pudzo	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	23	20	51	16	Remixster	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	45	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	46	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	47	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	47	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	49	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	49	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	50	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	51	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	51	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	52	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	53	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	53	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	24	19	17	54	Aewheros	sharonclaws	Anvil	350.0	350.0	1	world	[-14, 57, 22]
2018	11	28	05	37	47	freakdown	sharonclaws	Anvil	500.0	500.0	1	world	[11, 57, 7]
2018	12	20	23	25	05	Shahayhay	sharonclaws	Anvil	500.0	500.0	1	world	[11, 57, 7]
2018	12	20	23	25	06	Shahayhay	sharonclaws	Anvil	500.0	500.0	1	world	[11, 57, 7]
2019	01	04	17	27	36	Stormrunners	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	01	06	15	13	52	__Tilt	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	01	08	05	46	55	freakdown	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	01	27	02	35	11	Magranon	sharonclaws	Anvil	500.0	500.0	1	world	[-15, 65, 15]
2019	01	28	19	59	13	monkeyboy448	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	01	30	00	59	05	Magranon	sharonclaws	Anvil	500.0	500.0	1	world	[-15, 65, 15]
2019	02	02	22	35	31	yoikosugi	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	02	07	19	36	47	nilssssss	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	02	08	19	14	42	nilssssss	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	02	09	15	42	09	AshGreninja2579	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	02	19	13	54	46	BelegStrongbow	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	02	19	13	57	30	BelegStrongbow	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	02	21	13	20	11	Dragonslair7	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	02	21	19	20	55	coconewell92	sharonclaws	Anvil	500.0	500.0	1	world	[-15, 65, 15]
2019	02	21	19	41	48	coconewell92	sharonclaws	Anvil	500.0	500.0	1	world	[-15, 65, 15]
2019	02	21	21	01	47	BelegStrongbow	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	02	25	21	12	24	Vivifoxx	sharonclaws	Anvil	500.0	2000.0	4	world	[-15, 65, 15]
2019	03	08	13	45	07	ezrone	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	03	09	11	38	25	EnDristON	sharonclaws	Anvil	400.0	400.0	1	world	[-14, 58, 8]
2019	03	10	22	01	51	Lego_UOE	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	03	14	00	35	07	dandenoth	sharonclaws	Anvil	500.0	500.0	1	world	[11, 57, 7]
2019	03	15	17	37	19	Stormrunners	K9us	Anvil	500.0	500.0	1	world	[36, 63, -18]
2019	03	17	15	02	12	Miljanee	K9us	Anvil	500.0	500.0	1	world	[36, 63, -18]
2019	03	17	18	46	23	Vivifoxx	sharonclaws	Anvil	400.0	400.0	1	world	[-14, 58, 8]
2019	03	19	09	57	57	Vivifoxx	sharonclaws	Anvil	400.0	25600.0	64	world	[-14, 58, 8]
2019	03	25	23	55	26	TxAggieMc	K9us	Anvil	500.0	500.0	1	world	[36, 63, -18]
2019	03	27	16	51	43	QwubHanoj	sharonclaws	Anvil	400.0	400.0	1	world	[-14, 64, 12]
2019	03	27	23	16	33	Colonel_Ruff	sharonclaws	Anvil	400.0	400.0	1	world	[-14, 64, 12]
2019	03	28	18	25	52	frozenhammerz	sharonclaws	Anvil	400.0	25600.0	64	world	[-14, 58, 8]
2019	03	28	18	25	53	frozenhammerz	sharonclaws	Anvil	400.0	25600.0	64	world	[-14, 58, 8]
2019	03	29	00	45	34	dandenoth	sharonclaws	Anvil	400.0	400.0	1	world	[-14, 64, 12]
2019	03	29	16	16	58	Aewheros	Stormrunners	Anvil	300.0	300.0	1	world	[-338, 72, -475]
2019	03	29	23	36	55	Cesium_Knight	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	04	03	01	20	17	dandenoth	sharonclaws	Anvil	400.0	400.0	1	world	[-14, 64, 12]
2019	04	04	20	03	14	daboogaoogaman	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	04	04	20	03	16	daboogaoogaman	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	04	04	20	03	16	daboogaoogaman	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	04	04	20	03	18	daboogaoogaman	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	04	04	20	03	20	daboogaoogaman	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	04	04	20	03	25	daboogaoogaman	K9us	Anvil	500.0	500.0	1	world	[48, 72, -6]
2019	04	05	19	54	10	Cesium_Knight	K9us	Anvil	500.0	16000.0	32	world	[36, 63, -18]
2019	04	05	19	54	15	Cesium_Knight	K9us	Anvil	500.0	500.0	1	world	[36, 63, -18]
2019	04	06	10	54	07	Cesium_Knight	K9us	Anvil	500.0	15500.0	31	world	[36, 63, -18]
2019	04	06	10	54	12	Cesium_Knight	K9us	Anvil	500.0	500.0	1	world	[36, 63, -18]
2019	04	17	13	22	42	Mathemagician4	K9us	Anvil	500.0	500.0	1	world	[36, 63, -18]
2019	04	28	22	08	28	coconewell92	sharonclaws	Anvil	400.0	400.0	1	world	[-14, 64, 12]
2019	04	28	22	08	29	coconewell92	sharonclaws	Anvil	400.0	400.0	1	world	[-14, 64, 12]
