date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/21 18:16:40	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:48	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:48	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:49	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:50	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:50	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:51	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:52	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:53	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:53	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:54	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:55	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:55	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:56	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:56	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:57	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:57	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:58	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:59	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:16:59	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:17:00	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:17:01	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:17:01	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2018/09/21 18:17:02	Puttricks	Heronproject	Apple	450.0	450.0	1	world	[25, 69, -6]
2019/04/23 11:39:59	Apecengo	K9us	Apple	10.0	10.0	1	world	[56, 62, -26]
2019/04/23 11:40:00	Apecengo	K9us	Apple	10.0	10.0	1	world	[56, 62, -26]
2019/04/23 11:40:01	Apecengo	K9us	Apple	10.0	10.0	1	world	[56, 62, -26]
2019/05/05 11:33:29	darkraysplash	__Wildfire_	Apple	150.0	150.0	1	world_nether	[245, 112, -19]
2019/05/17 12:29:33	daboogaoogaman	K9us	Apple	10.0	640.0	64	world	[56, 62, -26]
2019/05/27 17:16:24	daboogaoogaman	K9us	Apple	10.0	640.0	64	world	[56, 62, -26]
2019/06/10 22:43:54	daboogaoogaman	K9us	Apple	10.0	640.0	64	world	[56, 62, -26]
2019/06/17 02:47:50	daboogaoogaman	K9us	Apple	10.0	640.0	64	world	[56, 62, -26]
2019/07/12 11:47:56	Vivifoxx	__Wildfire_	Apple	150.0	150.0	1	world_nether	[245, 112, -19]
2019/07/12 11:47:57	Vivifoxx	__Wildfire_	Apple	150.0	9600.0	64	world_nether	[245, 112, -19]
