year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	13	05	39	21	frozenhammerz	K9us	Arrow	95.0	95.0	1	world	[47, 72, -26]
2018	09	29	03	15	51	Dragonslair7	K9us	Arrow	45.0	45.0	1	world	[48, 72, -26]
2018	09	29	03	15	52	Dragonslair7	K9us	Arrow	45.0	45.0	1	world	[48, 72, -26]
2018	09	30	13	39	47	Ture2012	K9us	Arrow	45.0	45.0	1	world	[48, 72, -26]
2018	09	30	13	39	49	Ture2012	K9us	Arrow	45.0	45.0	1	world	[48, 72, -26]
2018	09	30	13	39	50	Ture2012	K9us	Arrow	45.0	45.0	1	world	[48, 72, -26]
2018	09	30	13	39	57	Ture2012	K9us	Arrow	45.0	45.0	1	world	[48, 72, -26]
2018	09	30	13	39	58	Ture2012	K9us	Arrow	45.0	45.0	1	world	[48, 72, -26]
2018	09	30	13	39	58	Ture2012	K9us	Arrow	45.0	45.0	1	world	[48, 72, -26]
2018	09	30	13	39	59	Ture2012	K9us	Arrow	45.0	45.0	1	world	[48, 72, -26]
2018	09	30	13	39	59	Ture2012	K9us	Arrow	45.0	45.0	1	world	[48, 72, -26]
2018	10	17	18	15	43	Stormrunners	K9us	Arrow	25.0	1600.0	64	world	[48, 72, -26]
2018	10	19	15	17	26	NorraLigan	K9us	Arrow	25.0	25.0	1	world	[48, 72, -26]
2018	10	19	15	17	27	NorraLigan	K9us	Arrow	25.0	25.0	1	world	[48, 72, -26]
2018	10	19	15	17	28	NorraLigan	K9us	Arrow	25.0	25.0	1	world	[48, 72, -26]
2018	10	19	15	17	43	NorraLigan	K9us	Arrow	25.0	25.0	1	world	[48, 72, -26]
2018	10	19	15	17	43	NorraLigan	K9us	Arrow	25.0	25.0	1	world	[48, 72, -26]
2018	10	19	15	17	44	NorraLigan	K9us	Arrow	25.0	25.0	1	world	[48, 72, -26]
2018	10	19	15	17	44	NorraLigan	K9us	Arrow	25.0	25.0	1	world	[48, 72, -26]
