date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/02/03 16:12:48	Mowilag	sharonclaws	Azure Bluet	5.0	5.0	1	world	[10, 58, 22]
2019/02/16 13:16:49	AteUrC00ki35	sharonclaws	Azure Bluet	5.0	5.0	1	world	[10, 58, 22]
2019/04/16 02:11:11	__Starlight_	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/04/16 02:11:12	__Starlight_	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/04/16 02:11:12	__Starlight_	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/04/16 02:11:13	__Starlight_	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/04/16 02:11:14	__Starlight_	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/04/16 02:11:18	__Wildfire_	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/04/16 02:11:19	__Wildfire_	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/04/16 02:11:19	__Wildfire_	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/05/05 00:59:28	__Wildfire_	sharonclaws	Azure Bluet	5.0	5.0	1	world	[10, 58, 22]
2019/05/05 00:59:29	__Wildfire_	sharonclaws	Azure Bluet	5.0	5.0	1	world	[10, 58, 22]
2019/05/05 00:59:29	__Wildfire_	sharonclaws	Azure Bluet	5.0	5.0	1	world	[10, 58, 22]
2019/05/26 17:00:14	Aewheros	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/05/26 17:00:14	Aewheros	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/05/26 17:00:15	Aewheros	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/05/26 17:00:15	Aewheros	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/05/26 17:00:16	Aewheros	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/05/26 17:00:17	Aewheros	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/05/26 17:00:17	Aewheros	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/05/26 17:00:18	Aewheros	sharonclaws	Azure Bluet	5.0	320.0	64	world	[10, 58, 22]
2019/05/26 17:00:18	Aewheros	sharonclaws	Azure Bluet	5.0	305.0	61	world	[10, 58, 22]
