year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	29	19	07	21	Butokuden	Remixster	Baked Potato	6.875	55.0	8	world	[52, 70, 12]
2018	10	26	20	34	22	H0ly_Llama	Remixster	Baked Potato	6.875	440.0	64	world	[52, 70, 12]
2018	10	26	20	34	22	H0ly_Llama	Remixster	Baked Potato	6.875	440.0	64	world	[52, 70, 12]
2018	10	26	20	34	23	H0ly_Llama	Remixster	Baked Potato	6.875	288.75	42	world	[52, 70, 12]
2018	11	24	13	00	21	rubez	Remixster	Baked Potato	0.3125	10.0	32	world	[55, 74, 20]
2018	12	02	16	13	05	G4t1t4M1m0s4	Captain_Handsome	Baked Potato	1.0	32.0	32	world	[22, 70, -45]
2018	12	02	16	13	07	G4t1t4M1m0s4	Captain_Handsome	Baked Potato	1.0	32.0	32	world	[22, 70, -45]
2018	12	02	16	13	09	G4t1t4M1m0s4	Captain_Handsome	Baked Potato	1.0	32.0	32	world	[22, 70, -45]
2018	12	02	16	13	10	G4t1t4M1m0s4	Captain_Handsome	Baked Potato	1.0	32.0	32	world	[22, 70, -45]
2018	12	02	16	13	12	G4t1t4M1m0s4	Captain_Handsome	Baked Potato	1.0	32.0	32	world	[22, 70, -45]
2018	12	02	16	13	14	G4t1t4M1m0s4	Captain_Handsome	Baked Potato	1.0	32.0	32	world	[22, 70, -45]
2018	12	02	18	28	38	G4t1t4M1m0s4	Captain_Handsome	Baked Potato	1.0	32.0	32	world	[22, 70, -45]
2018	12	02	18	28	39	G4t1t4M1m0s4	Captain_Handsome	Baked Potato	1.0	32.0	32	world	[22, 70, -45]
2018	12	02	18	28	40	G4t1t4M1m0s4	Captain_Handsome	Baked Potato	1.0	12.0	12	world	[22, 70, -45]
2018	12	13	15	30	14	Mr_Digs	Remixster	Baked Potato	0.3125	20.0	64	world	[55, 74, 20]
2018	12	13	15	30	15	Mr_Digs	Remixster	Baked Potato	0.3125	3.75	12	world	[55, 74, 20]
2018	12	25	19	19	39	MisterEck	Remixster	Baked Potato	0.3125	10.0	32	world	[55, 74, 20]
2019	01	30	14	14	57	nilssssss	Remixster	Baked Potato	0.31272727272727274	3.44	11	world	[55, 74, 20]
2019	03	25	04	15	01	Magnavox	Remix_D_Miner	Baked Potato	0.3125	10.0	32	world	[55, 74, 20]
2019	03	25	04	15	02	Magnavox	Remix_D_Miner	Baked Potato	0.3125	10.0	32	world	[55, 74, 20]
2019	09	01	14	35	16	Mowilag	Remix_D_Miner	Baked Potato	0.3126315789473684	5.94	19	world	[55, 74, 20]
