year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	08	11	57	39	spfoia	Haksndot	Birch Log	37.5	300.0	8	world	[-19, 65, -9]
2018	09	08	11	57	40	spfoia	Haksndot	Birch Log	37.5	300.0	8	world	[-19, 65, -9]
2018	09	08	11	57	40	spfoia	Haksndot	Birch Log	37.5	300.0	8	world	[-19, 65, -9]
2018	09	08	11	59	05	spfoia	Haksndot	Birch Log	37.5	300.0	8	world	[-19, 65, -9]
2018	09	08	11	59	06	spfoia	Haksndot	Birch Log	37.5	300.0	8	world	[-19, 65, -9]
2018	09	08	11	59	07	spfoia	Haksndot	Birch Log	37.5	300.0	8	world	[-19, 65, -9]
2018	09	08	12	03	20	frozenhammerz	Haksndot	Birch Log	37.5	2400.0	64	world	[-19, 65, -9]
2018	09	08	12	03	22	frozenhammerz	Haksndot	Birch Log	37.5	2137.5	57	world	[-19, 65, -9]
2018	09	13	00	25	50	sharonclaws	Haksndot	Birch Log	81.25	650.0	8	world	[-19, 65, -9]
2018	09	15	18	52	30	DjungelJarl	Haksndot	Birch Log	81.25	650.0	8	world	[-19, 65, -9]
2018	09	16	20	31	18	Haksndot	K9us	Birch Log	80.0	5040.0	63	world	[16, 72, -9]
2018	09	22	13	28	09	frozenhammerz	K9us	Birch Log	80.0	5120.0	64	world	[16, 72, -9]
2018	09	22	13	28	10	frozenhammerz	K9us	Birch Log	80.0	5120.0	64	world	[16, 72, -9]
2018	09	22	13	28	11	frozenhammerz	K9us	Birch Log	80.0	5120.0	64	world	[16, 72, -9]
2018	09	22	13	28	11	frozenhammerz	K9us	Birch Log	80.0	5120.0	64	world	[16, 72, -9]
2018	09	22	13	28	12	frozenhammerz	K9us	Birch Log	80.0	5120.0	64	world	[16, 72, -9]
2018	09	22	13	31	46	frozenhammerz	K9us	Birch Log	80.0	5120.0	64	world	[16, 72, -9]
2018	09	22	13	31	47	frozenhammerz	K9us	Birch Log	80.0	5120.0	64	world	[16, 72, -9]
2018	09	22	13	31	48	frozenhammerz	K9us	Birch Log	80.0	5120.0	64	world	[16, 72, -9]
2018	09	22	13	34	37	frozenhammerz	K9us	Birch Log	80.0	5120.0	64	world	[16, 72, -9]
2018	09	23	19	59	54	Butokuden	Haksndot	Birch Log	81.25	5200.0	64	world	[-19, 65, -9]
2018	09	24	17	36	15	Stormrunners	Haksndot	Birch Log	81.25	650.0	8	world	[-19, 65, -9]
2018	09	25	11	00	04	Jesper1972	K9us	Birch Log	100.0	100.0	1	world	[16, 72, -9]
2018	09	25	15	40	03	frozenhammerz	K9us	Birch Log	100.0	6400.0	64	world	[16, 72, -9]
2018	09	25	15	40	04	frozenhammerz	K9us	Birch Log	100.0	6400.0	64	world	[16, 72, -9]
2018	09	25	15	45	36	frozenhammerz	K9us	Birch Log	100.0	6400.0	64	world	[16, 72, -9]
2018	09	25	15	45	37	frozenhammerz	K9us	Birch Log	100.0	800.0	8	world	[16, 72, -9]
2018	09	26	02	34	25	Jesper1972	Haksndot	Birch Log	81.25	650.0	8	world	[-19, 65, -9]
2018	09	26	13	25	42	Ture2012	Haksndot	Birch Log	81.25	162.5	2	world	[-19, 65, -9]
2018	09	28	21	51	52	LightsChaos	K9us	Birch Log	78.0	234.0	3	world	[16, 72, -9]
2018	09	28	21	52	57	LightsChaos	Haksndot	Birch Log	81.25	5200.0	64	world	[-19, 65, -9]
2018	09	28	21	52	59	LightsChaos	Haksndot	Birch Log	81.25	5200.0	64	world	[-19, 65, -9]
2018	09	28	21	52	59	LightsChaos	Haksndot	Birch Log	81.25	5200.0	64	world	[-19, 65, -9]
2018	10	01	11	33	07	Jesper1972	Haksndot	Birch Log	81.25	650.0	8	world	[-19, 65, -9]
2018	10	01	11	33	08	Jesper1972	Haksndot	Birch Log	81.25	650.0	8	world	[-19, 65, -9]
2018	10	01	11	33	09	Jesper1972	Haksndot	Birch Log	81.25	650.0	8	world	[-19, 65, -9]
2018	10	06	14	06	12	frozenhammerz	K9us	Birch Log	78.0	78.0	1	world	[16, 72, -9]
2018	10	13	12	14	38	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	10	13	12	14	40	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	10	13	14	45	46	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	10	13	14	45	47	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	10	13	14	45	49	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	10	13	14	45	54	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	10	25	07	07	06	Baskerboss	Haksndot	Birch Log	100.0	100.0	1	world	[-19, 65, -9]
2018	10	25	07	07	07	Baskerboss	Haksndot	Birch Log	100.0	100.0	1	world	[-19, 65, -9]
2018	10	25	07	07	09	Baskerboss	Haksndot	Birch Log	100.0	100.0	1	world	[-19, 65, -9]
2018	10	25	07	07	11	Baskerboss	Haksndot	Birch Log	100.0	100.0	1	world	[-19, 65, -9]
2018	10	25	07	07	31	Baskerboss	Haksndot	Birch Log	100.0	100.0	1	world	[-19, 65, -9]
2018	10	25	07	07	37	Baskerboss	Haksndot	Birch Log	100.0	100.0	1	world	[-19, 65, -9]
2018	10	27	10	17	57	Aewheros	Haksndot	Birch Log	100.0	100.0	1	world	[-19, 65, -9]
2018	10	27	10	17	59	Aewheros	Haksndot	Birch Log	100.0	100.0	1	world	[-19, 65, -9]
2018	10	27	10	18	00	Aewheros	Haksndot	Birch Log	100.0	100.0	1	world	[-19, 65, -9]
2018	10	29	11	05	44	K9us	Haksndot	Birch Log	100.0	6400.0	64	world	[-19, 65, -9]
2018	10	29	11	05	46	K9us	Haksndot	Birch Log	100.0	6400.0	64	world	[-19, 65, -9]
2018	10	29	11	05	47	K9us	Haksndot	Birch Log	100.0	6400.0	64	world	[-19, 65, -9]
2018	10	29	11	05	48	K9us	Haksndot	Birch Log	100.0	6400.0	64	world	[-19, 65, -9]
2018	10	29	11	05	49	K9us	Haksndot	Birch Log	100.0	6400.0	64	world	[-19, 65, -9]
2018	10	29	11	05	50	K9us	Haksndot	Birch Log	100.0	6400.0	64	world	[-19, 65, -9]
2018	10	29	11	05	51	K9us	Haksndot	Birch Log	100.0	6400.0	64	world	[-19, 65, -9]
2018	10	29	11	05	53	K9us	Haksndot	Birch Log	100.0	6400.0	64	world	[-19, 65, -9]
2018	10	29	11	05	54	K9us	Haksndot	Birch Log	100.0	6400.0	64	world	[-19, 65, -9]
2018	10	29	11	05	54	K9us	Haksndot	Birch Log	100.0	6400.0	64	world	[-19, 65, -9]
2018	11	09	09	23	12	Mowilag	K9us	Birch Log	100.0	100.0	1	world	[16, 72, -9]
2018	11	09	22	18	13	Mowilag	Haksndot	Birch Log	100.0	100.0	1	world	[-19, 65, -9]
2018	11	09	22	18	47	Mowilag	K9us	Birch Log	100.0	100.0	1	world	[16, 72, -9]
2018	11	10	13	57	25	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	11	12	18	05	12	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	11	12	18	05	57	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	11	14	21	49	03	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	11	14	21	50	15	pudzo	Haksndot	Birch Log	100.0	6400.0	64	world_nether	[-22, 112, -42]
2018	11	16	23	27	03	Phantom_Ark	K9us	Birch Log	100.0	100.0	1	world	[15, 72, -15]
2018	11	17	01	05	22	frozenhammerz	K9us	Birch Log	100.0	6400.0	64	world	[15, 72, -15]
2018	11	17	01	05	22	frozenhammerz	K9us	Birch Log	100.0	6400.0	64	world	[15, 72, -15]
2018	11	17	01	06	25	frozenhammerz	K9us	Birch Log	100.0	6400.0	64	world	[15, 72, -15]
2018	11	17	01	06	26	frozenhammerz	K9us	Birch Log	100.0	6400.0	64	world	[15, 72, -15]
2018	11	17	01	06	27	frozenhammerz	K9us	Birch Log	100.0	6000.0	60	world	[15, 72, -15]
2018	11	17	18	02	55	pudzo	Haksndot	Birch Log	80.0	5120.0	64	world_nether	[-22, 112, -42]
2018	11	17	18	02	57	pudzo	Haksndot	Birch Log	80.0	5120.0	64	world_nether	[-22, 112, -42]
2018	11	20	18	54	04	NullCase	Phantom_Ark	Birch Log	10.0	640.0	64	world	[-192, 64, 324]
2018	11	20	18	54	05	NullCase	Phantom_Ark	Birch Log	10.0	640.0	64	world	[-192, 64, 324]
2018	11	20	18	54	05	NullCase	Phantom_Ark	Birch Log	10.0	540.0	54	world	[-192, 64, 324]
2018	11	21	02	36	20	Phantom_Ark	Haksndot	Birch Log	30.0	1920.0	64	world	[-19, 65, -9]
2018	11	21	02	36	21	Phantom_Ark	Haksndot	Birch Log	30.0	1920.0	64	world	[-19, 65, -9]
2018	11	21	02	36	24	Phantom_Ark	Haksndot	Birch Log	30.0	1920.0	64	world	[-19, 65, -9]
2018	11	24	09	30	43	pudzo	Haksndot	Birch Log	30.0	1920.0	64	world_nether	[-22, 112, -42]
2018	11	24	09	30	46	pudzo	Haksndot	Birch Log	30.0	1920.0	64	world_nether	[-22, 112, -42]
2018	11	24	09	30	48	pudzo	Haksndot	Birch Log	30.0	1920.0	64	world_nether	[-22, 112, -42]
2018	11	24	10	22	22	frozenhammerz	K9us	Birch Log	33.0	33.0	1	world	[-1844, 6, 1599]
2018	11	24	10	26	07	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	08	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	09	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	10	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	10	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	11	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	11	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	12	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	27	frozenhammerz	K9us	Birch Log	33.0	33.0	1	world	[-1844, 6, 1599]
2018	11	24	10	26	28	frozenhammerz	K9us	Birch Log	33.0	33.0	1	world	[-1844, 6, 1599]
2018	11	24	10	26	29	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	30	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	30	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	31	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	32	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	32	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	33	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	33	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	26	34	frozenhammerz	K9us	Birch Log	33.0	2046.0	62	world	[-1844, 6, 1599]
2018	11	24	10	26	59	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	27	00	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	27	01	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	27	07	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	27	10	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	10	27	15	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	28	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	29	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	29	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	30	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	31	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	31	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	32	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	33	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	33	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	34	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	34	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	35	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	42	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	44	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	54	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	55	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	56	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	56	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	57	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	57	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	58	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	11	28	59	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	12	12	18	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	12	12	19	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	12	12	20	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
2018	11	24	12	12	20	frozenhammerz	K9us	Birch Log	33.0	2112.0	64	world	[-1844, 6, 1599]
