year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	10	18	18	07	K9us	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	29	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	31	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	31	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	32	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	32	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	33	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	34	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	35	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	35	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	36	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	37	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	38	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	39	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	40	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	42	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	01	31	23	34	44	Nocturna12	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	03	02	14	51	36	AshGreninja2579	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	03	24	23	38	07	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	08	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	08	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	09	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	10	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	11	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	11	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	12	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	13	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	13	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	14	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	14	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	15	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	16	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	16	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	17	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	17	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	18	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	19	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	03	24	23	38	20	ezrone	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	04	03	16	07	32	EnDristON	Colonel_Ruff	Birch Sapling	0.75	48.0	64	world	[248, 81, 189]
2019	04	16	12	30	39	Talrinion	Colonel_Ruff	Birch Sapling	0.75	12.0	16	world	[248, 81, 189]
2019	05	03	07	25	52	frozenhammerz	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	05	03	07	25	52	frozenhammerz	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	05	03	07	25	55	frozenhammerz	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	05	04	05	27	12	Pancen	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	05	04	06	41	43	Pancen	Haksndot	Birch Sapling	100.0	100.0	1	world	[-130, 63, -26]
2019	05	05	06	58	41	Pancen	__Wildfire_	Birch Sapling	80.0	80.0	1	world_nether	[248, 112, -19]
2019	05	06	20	55	11	Pancen	Colonel_Ruff	Birch Sapling	0.75	48.0	64	world	[248, 81, 189]
2019	05	06	20	55	12	Pancen	Colonel_Ruff	Birch Sapling	0.75	48.0	64	world	[248, 81, 189]
2019	05	06	20	55	13	Pancen	Colonel_Ruff	Birch Sapling	0.75	36.75	49	world	[248, 81, 189]
2019	05	23	18	47	21	Aewheros	Colonel_Ruff	Birch Sapling	0.75	48.0	64	world	[248, 81, 189]
2019	05	23	18	47	21	Aewheros	Colonel_Ruff	Birch Sapling	0.75	48.0	64	world	[248, 81, 189]
2019	05	23	18	47	26	Aewheros	Colonel_Ruff	Birch Sapling	0.75	36.0	48	world	[248, 81, 189]
2019	06	30	05	16	05	kahlayla	K9us	Birch Sapling	106.0	106.0	1	world	[75, 62, -42]
2019	07	06	12	14	37	Vallenius	K9us	Birch Sapling	106.0	6784.0	64	world	[75, 62, -42]
2019	07	19	05	45	28	Vallenius	K9us	Birch Sapling	106.0	6784.0	64	world	[75, 62, -42]
2019	07	19	05	45	28	Vallenius	K9us	Birch Sapling	106.0	6784.0	64	world	[75, 62, -42]
2019	07	19	05	45	29	Vallenius	K9us	Birch Sapling	106.0	6784.0	64	world	[75, 62, -42]
2019	07	19	05	45	31	Vallenius	K9us	Birch Sapling	106.0	6784.0	64	world	[75, 62, -42]
