year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	09	22	00	38	58	Thoreu	Marcus265	Black Dye	100.0	6000.0	60	world	[361, 80, 187]
2019	12	30	04	51	26	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	30	04	51	27	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	30	04	51	28	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	30	04	51	29	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	30	04	51	31	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	31	08	35	31	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	31	08	35	32	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	31	08	35	33	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	31	08	35	35	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	31	08	35	42	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	31	08	35	43	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	31	08	35	44	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
2019	12	31	08	35	45	Downhilldriver	Vallenius	Black Dye	10.0	10.0	1	world	[-6, 57, 22]
