year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	08	03	15	13	freakdown	Aewheros	Black Glazed Terracotta	150.0	600.0	4	world	[114, 66, -60]
2019	01	31	23	55	34	nilssssss	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	01	31	23	55	35	nilssssss	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	01	31	23	55	36	nilssssss	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	01	31	23	55	37	nilssssss	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	21	55	17	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	21	55	21	freakdown	Aewheros	Black Glazed Terracotta	120.0	7680.0	64	world	[114, 66, -60]
2019	02	01	22	09	18	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	22	09	19	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	22	09	19	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	22	09	20	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	22	09	21	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	22	09	21	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	22	09	22	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	22	09	22	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	22	09	23	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	02	01	22	09	24	freakdown	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	05	03	07	33	27	frozenhammerz	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	05	03	07	33	28	frozenhammerz	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	05	03	07	33	28	frozenhammerz	Aewheros	Black Glazed Terracotta	120.0	120.0	1	world	[114, 66, -60]
2019	08	20	20	46	05	daboogaoogaman	Aewheros	Black Glazed Terracotta	120.0	7680.0	64	world	[114, 66, -60]
2019	08	21	20	59	01	daboogaoogaman	Aewheros	Black Glazed Terracotta	120.0	7680.0	64	world	[114, 66, -60]
