year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	17	05	08	49	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	08	50	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	08	54	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	08	55	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	08	55	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	08	56	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	37	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	38	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	38	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	42	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	42	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	43	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	43	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	44	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	44	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	45	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	45	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	46	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	46	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	47	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	47	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	48	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	49	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	49	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	50	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	50	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	51	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	51	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	52	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	52	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	53	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	53	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	54	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	54	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	55	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	55	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	56	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	56	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	57	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	57	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	58	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	58	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	59	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	14	59	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	00	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	00	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	01	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	01	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	02	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	02	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	03	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	03	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	04	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	04	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	05	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	05	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	06	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	06	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	07	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	07	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	08	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	09	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	10	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
2019	03	17	05	15	10	dandenoth	EnDristON	Black Stained Glass	50.0	50.0	1	world	[249, 84, 126]
