date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/08 07:42:08	BredeBertil	WoopidyDoopidy	Black Wool	6.25	50.0	8	world	[-49, 65, 35]
2018/09/19 18:58:53	frozenhammerz	Remixster	Black Wool	6.875	275.0	40	world	[103, 69, 34]
2018/09/20 18:07:30	frozenhammerz	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/09/20 18:18:19	frozenhammerz	Remixster	Black Wool	6.88	6.88	1	world	[103, 69, 34]
2018/09/30 20:29:28	AteUrC00ki35	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/09/30 20:29:31	AteUrC00ki35	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/09/30 23:35:44	AteUrC00ki35	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/09/30 23:35:46	AteUrC00ki35	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/09/30 23:35:46	AteUrC00ki35	Remixster	Black Wool	6.88	6.88	1	world	[103, 69, 34]
2018/10/04 01:27:15	AteUrC00ki35	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/10/04 01:27:18	AteUrC00ki35	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/10/04 01:27:20	AteUrC00ki35	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/10/04 01:27:22	AteUrC00ki35	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/10/07 02:13:27	Dragonslair7	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/10/12 18:50:09	Shahayhay	WoopidyDoopidy	Black Wool	6.25	50.0	8	world	[-49, 65, 35]
2018/10/12 18:50:10	Shahayhay	WoopidyDoopidy	Black Wool	6.25	50.0	8	world	[-49, 65, 35]
2018/10/12 18:50:10	Shahayhay	WoopidyDoopidy	Black Wool	6.25	50.0	8	world	[-49, 65, 35]
2018/10/12 18:50:11	Shahayhay	WoopidyDoopidy	Black Wool	6.25	50.0	8	world	[-49, 65, 35]
2018/10/12 18:50:12	Shahayhay	WoopidyDoopidy	Black Wool	6.25	50.0	8	world	[-49, 65, 35]
2018/10/12 18:50:12	Shahayhay	WoopidyDoopidy	Black Wool	6.25	50.0	8	world	[-49, 65, 35]
2018/10/12 18:50:14	Shahayhay	WoopidyDoopidy	Black Wool	6.25	50.0	8	world	[-49, 65, 35]
2018/10/12 18:50:15	Shahayhay	WoopidyDoopidy	Black Wool	6.25	50.0	8	world	[-49, 65, 35]
2018/10/21 13:44:32	Char1348294	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/11/15 16:32:34	Stormrunners	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/11/16 15:56:29	Stormrunners	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/11/16 15:56:31	Stormrunners	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/11/16 15:56:32	Stormrunners	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/11/29 16:26:35	K9us	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/11/29 16:26:35	K9us	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/11/29 16:26:36	K9us	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/11/29 16:26:36	K9us	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/12/01 21:14:06	freakdown	Remixster	Black Wool	6.875	440.0	64	world	[103, 69, 34]
2018/12/01 21:14:07	freakdown	Remixster	Black Wool	6.875	440.0	64	world	[103, 69, 34]
2018/12/01 21:14:07	freakdown	Remixster	Black Wool	6.875	440.0	64	world	[103, 69, 34]
2018/12/01 21:14:08	freakdown	Remixster	Black Wool	6.875	330.0	48	world	[103, 69, 34]
2018/12/02 18:39:30	freakdown	Remixster	Black Wool	6.875	440.0	64	world	[103, 69, 34]
2018/12/02 18:39:31	freakdown	Remixster	Black Wool	6.875	261.25	38	world	[103, 69, 34]
2018/12/06 23:13:16	freakdown	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/12/11 11:18:32	NullCase	Remixster	Black Wool	6.875	55.0	8	world	[103, 69, 34]
2018/12/23 10:17:53	DIOSWILSON	Remixster	Black Wool	6.875	151.25	22	world	[103, 69, 34]
2019/02/13 10:12:43	K9us	Remixster	Black Wool	6.88	6.88	1	world	[103, 69, 34]
2019/02/14 21:58:16	Shahayhay	sharonclaws	Black Wool	6.1875	396.0	64	world	[-14, 64, 12]
2019/02/14 21:58:17	Shahayhay	sharonclaws	Black Wool	6.1875	396.0	64	world	[-14, 64, 12]
2019/02/14 21:58:18	Shahayhay	sharonclaws	Black Wool	6.1875	396.0	64	world	[-14, 64, 12]
2019/02/14 21:58:18	Shahayhay	sharonclaws	Black Wool	6.1875	396.0	64	world	[-14, 64, 12]
