year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	21	21	16	25	Char1348294	Haksndot	Blaze Rod	2000.0	2000.0	1	world	[-12, 65, -6]
2018	09	21	21	16	26	Char1348294	Haksndot	Blaze Rod	2000.0	2000.0	1	world	[-12, 65, -6]
2018	09	21	21	16	28	Char1348294	Haksndot	Blaze Rod	2000.0	2000.0	1	world	[-12, 65, -6]
2018	09	21	21	16	41	Char1348294	Haksndot	Blaze Rod	2000.0	2000.0	1	world	[-12, 65, -6]
2018	09	21	21	16	43	Char1348294	Haksndot	Blaze Rod	2000.0	2000.0	1	world	[-12, 65, -6]
2018	09	21	21	16	48	KromeNinja	Haksndot	Blaze Rod	2000.0	2000.0	1	world	[-12, 65, -6]
2018	09	21	21	16	56	KromeNinja	Haksndot	Blaze Rod	2000.0	2000.0	1	world	[-12, 65, -6]
2018	09	21	22	43	00	pudzo	Haksndot	Blaze Rod	2000.0	2000.0	1	world	[-12, 65, -6]
2018	09	21	22	43	03	pudzo	Haksndot	Blaze Rod	2000.0	2000.0	1	world	[-12, 65, -6]
2018	09	23	16	11	35	3thanat0r	Haksndot	Blaze Rod	4000.0	4000.0	1	world	[-12, 65, -6]
2018	10	03	21	34	50	Remixster	Shahayhay	Blaze Rod	800.0	800.0	1	world_nether	[-119, 68, -178]
2018	10	03	21	34	50	Remixster	Shahayhay	Blaze Rod	800.0	800.0	1	world_nether	[-119, 68, -178]
2018	10	03	21	34	52	Remixster	Shahayhay	Blaze Rod	800.0	800.0	1	world_nether	[-119, 68, -178]
2018	10	03	21	34	53	Remixster	Shahayhay	Blaze Rod	800.0	800.0	1	world_nether	[-119, 68, -178]
2018	10	03	21	34	55	Remixster	Shahayhay	Blaze Rod	800.0	800.0	1	world_nether	[-119, 68, -178]
2018	10	17	12	22	28	3thanat0r	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	12	22	29	3thanat0r	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	12	22	30	3thanat0r	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	12	22	31	3thanat0r	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	12	22	31	3thanat0r	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	12	22	32	3thanat0r	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	12	22	33	3thanat0r	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	12	22	33	3thanat0r	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	12	22	34	3thanat0r	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	12	22	34	3thanat0r	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	14	26	17	Saphira500	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	14	26	19	Saphira500	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	14	26	21	Saphira500	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	14	26	33	Saphira500	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	17	59	39	Stormrunners	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	21	30	59	pudzo	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	21	31	01	pudzo	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
2018	10	17	21	31	01	pudzo	sharonclaws	Blaze Rod	50.0	50.0	1	world	[-8, 64, 12]
