year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	08	20	06	34	53	PXshadow	Vivifoxx	Blue Dye	5.0	5.0	1	world	[320, 71, 25]
2019	08	20	06	34	54	PXshadow	Vivifoxx	Blue Dye	5.0	5.0	1	world	[320, 71, 25]
2019	08	20	06	34	54	PXshadow	Vivifoxx	Blue Dye	5.0	5.0	1	world	[320, 71, 25]
2019	08	20	06	34	55	PXshadow	Vivifoxx	Blue Dye	5.0	5.0	1	world	[320, 71, 25]
2019	09	13	11	23	24	Thoreu	Vivifoxx	Blue Dye	5.0	5.0	1	world	[320, 71, 25]
2019	09	13	11	23	28	Thoreu	Vivifoxx	Blue Dye	5.0	85.0	17	world	[320, 71, 25]
2019	09	14	13	45	17	TheNormalToast	Vivifoxx	Blue Dye	5.0	135.0	27	world	[320, 71, 25]
2019	09	14	13	53	00	TheNormalToast	Vivifoxx	Blue Dye	5.0	135.0	27	world	[320, 71, 25]
2019	12	21	15	15	47	mendor77	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	01	11	10	11	44	jtl0350	Vallenius	Blue Dye	10.0	640.0	64	world	[-12, 57, 22]
2020	01	19	18	34	08	Freeaboo	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	01	19	18	34	17	Freeaboo	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	01	19	18	34	18	Freeaboo	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	01	19	18	34	19	Freeaboo	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	01	19	18	34	20	Freeaboo	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	01	19	18	34	21	Freeaboo	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	01	19	18	34	22	Freeaboo	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	01	19	18	34	23	Freeaboo	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	01	19	18	34	24	Freeaboo	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	01	19	18	34	24	Freeaboo	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	03	10	16	26	08	Minarchu	Vallenius	Blue Dye	10.0	10.0	1	world	[-12, 57, 22]
2020	03	12	16	10	22	VeillofSorrow	Vallenius	Blue Dye	10.0	640.0	64	world	[-12, 57, 22]
2020	03	12	18	06	17	VeillofSorrow	Vallenius	Blue Dye	10.0	100.0	10	world	[-12, 57, 22]
