year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	30	19	35	14	freakdown	K9us	Blue Ice	110.0	7040.0	64	world	[-1871, 6, 1608]
2018	11	30	19	35	17	freakdown	K9us	Blue Ice	110.0	7040.0	64	world	[-1871, 6, 1608]
2018	11	30	19	35	17	freakdown	K9us	Blue Ice	110.0	7040.0	64	world	[-1871, 6, 1608]
2018	11	30	19	35	18	freakdown	K9us	Blue Ice	110.0	7040.0	64	world	[-1871, 6, 1608]
2018	11	30	19	35	18	freakdown	K9us	Blue Ice	110.0	7040.0	64	world	[-1871, 6, 1608]
2018	11	30	19	35	23	freakdown	K9us	Blue Ice	110.0	7040.0	64	world	[-1871, 6, 1608]
2018	11	30	19	35	29	freakdown	K9us	Blue Ice	110.0	7040.0	64	world	[-1871, 6, 1608]
2018	11	30	19	35	30	freakdown	K9us	Blue Ice	110.0	7040.0	64	world	[-1871, 6, 1608]
2018	11	30	19	35	30	freakdown	K9us	Blue Ice	110.0	7040.0	64	world	[-1871, 6, 1608]
2018	12	01	21	28	26	freakdown	K9us	Blue Ice	110.0	6930.0	63	world	[-1871, 6, 1608]
2018	12	03	21	56	17	frozenhammerz	K9us	Blue Ice	110.0	6930.0	63	world	[-1871, 6, 1608]
2019	04	28	20	29	17	frozenhammerz	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	28	20	29	18	frozenhammerz	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	28	20	29	20	frozenhammerz	K9us	Blue Ice	330.0	21120.0	64	world	[-1871, 6, 1608]
2019	04	28	20	29	21	frozenhammerz	K9us	Blue Ice	330.0	21120.0	64	world	[-1871, 6, 1608]
2019	04	29	17	08	37	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	38	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	38	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	39	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	40	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	40	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	41	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	42	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	42	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	43	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	43	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	44	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	45	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	46	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	04	29	17	08	46	daboogaoogaman	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	05	03	06	25	57	frozenhammerz	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	05	03	06	25	58	frozenhammerz	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	05	03	06	25	59	frozenhammerz	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	22	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	23	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	24	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	24	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	25	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	26	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	26	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	27	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	27	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	28	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	28	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	29	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	29	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	30	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	31	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	31	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	32	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	32	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	33	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	33	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	34	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	35	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	35	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	36	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	36	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	37	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	37	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	38	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	39	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	40	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	41	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	41	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	42	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	42	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	43	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	44	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	47	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	48	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	48	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	49	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
2019	06	20	11	48	50	rockfejset	K9us	Blue Ice	330.0	330.0	1	world	[-1871, 6, 1608]
