year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	11	26	12	02	47	frozenhammerz	K9us	Bone Block	110.0	7040.0	64	world	[-1855, 6, 1608]
2018	11	28	05	32	36	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	32	37	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	32	38	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	32	39	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	32	39	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	32	40	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	32	41	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	32	41	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	32	42	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	32	42	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	24	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	26	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	27	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	28	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	28	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	29	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	29	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	30	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	31	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	32	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	33	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	33	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	11	28	05	37	34	frozenhammerz	K9us	Bone Block	110.0	110.0	1	world	[-1855, 6, 1608]
2018	12	04	18	35	32	frozenhammerz	K9us	Bone Block	110.0	7040.0	64	world	[-1855, 6, 1608]
