date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/28 12:46:57	Jesper1972	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/09/28 12:46:59	Jesper1972	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/09/28 12:47:01	Jesper1972	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/09/29 09:44:02	Jesper1972	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/09/29 09:44:07	Jesper1972	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/09/29 09:44:08	Jesper1972	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/09/29 09:44:09	Jesper1972	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:27	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:28	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:28	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:30	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:30	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:31	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:32	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:33	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:34	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:34	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:35	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:36	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:36	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:37	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:38	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:38	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:39	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:39	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:40	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:40	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:41	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:42	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:46	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:47	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:48	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:49	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:49	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:50	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:50	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:51	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:52	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:52	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:53	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:53	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:54	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:55	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:58	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:23:59	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:02	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:06	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:07	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:08	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:08	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:09	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:10	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:11	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:12	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:12	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:13	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:16	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:16	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:17	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:18	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:19	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:20	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:22	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:23	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:24	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:25	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:25	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:27	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:27	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:28	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/10/16 00:24:31	Butokuden	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/11/02 10:45:41	G4t1t4M1m0s4	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/11/02 10:45:44	G4t1t4M1m0s4	K9us	Bone Meal	2.0	126.0	63	world	[22, 71, -24]
2018/11/02 13:39:10	G4t1t4M1m0s4	K9us	Bone Meal	2.0	128.0	64	world	[22, 71, -24]
2018/11/02 13:39:12	G4t1t4M1m0s4	K9us	Bone Meal	2.0	128.0	64	world	[22, 71, -24]
2018/11/02 13:39:49	G4t1t4M1m0s4	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/11/02 13:39:55	G4t1t4M1m0s4	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/11/02 13:39:57	G4t1t4M1m0s4	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/11/02 13:39:57	G4t1t4M1m0s4	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/11/02 13:40:00	G4t1t4M1m0s4	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/11/02 13:40:00	G4t1t4M1m0s4	K9us	Bone Meal	2.0	20.0	10	world	[22, 71, -24]
2018/11/02 13:40:03	G4t1t4M1m0s4	K9us	Bone Meal	2.0	128.0	64	world	[22, 71, -24]
2018/11/07 10:22:05	Impression28	sharonclaws	Bone Meal	5.0	5.0	1	world	[3, 73, 12]
2018/11/07 10:22:08	Impression28	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/10 13:14:05	Aewheros	K9us	Bone Meal	2.0	94.0	47	world	[22, 71, -24]
2018/11/15 18:32:51	Aewheros	K9us	Bone Meal	2.0	128.0	64	world	[22, 71, -24]
2018/11/15 18:33:12	Aewheros	K9us	Bone Meal	2.0	128.0	64	world	[22, 71, -24]
2018/11/16 13:05:03	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:04	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:05	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:06	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:07	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:07	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:08	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:09	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:09	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:10	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:10	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:11	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:12	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:13	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:13	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:05:14	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:08:46	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:08:47	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:08:48	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:08:48	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:08:49	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:08:50	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:08:52	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:08:52	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:08:54	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/16 13:08:55	__Wildfire_	sharonclaws	Bone Meal	5.0	295.0	59	world	[3, 73, 12]
2018/11/18 00:24:17	Aewheros	K9us	Bone Meal	2.0	128.0	64	world	[20, 71, -22]
2018/11/18 00:24:17	Aewheros	K9us	Bone Meal	2.0	128.0	64	world	[20, 71, -22]
2018/11/18 00:24:18	Aewheros	K9us	Bone Meal	2.0	128.0	64	world	[20, 71, -22]
2018/11/18 00:24:19	Aewheros	K9us	Bone Meal	2.0	128.0	64	world	[20, 71, -22]
2018/11/18 00:24:19	Aewheros	K9us	Bone Meal	2.0	104.0	52	world	[20, 71, -22]
2018/11/22 02:22:51	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:52	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:53	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:53	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:54	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:56	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:56	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:57	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:58	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:58	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:59	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:22:59	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:23:00	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:23:01	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:23:01	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:16	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:16	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:17	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:17	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:18	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:19	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:21	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:21	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:23	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:23	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:24	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/22 02:25:25	__Wildfire_	sharonclaws	Bone Meal	5.0	320.0	64	world	[3, 73, 12]
2018/11/26 05:17:51	NorraLigan	sharonclaws	Bone Meal	15.0	960.0	64	world	[3, 73, 12]
2018/11/28 20:17:39	freakdown	K9us	Bone Meal	14.0	896.0	64	world	[20, 71, -22]
2018/11/28 20:17:41	freakdown	K9us	Bone Meal	14.0	896.0	64	world	[20, 71, -22]
2018/11/28 20:17:41	freakdown	K9us	Bone Meal	14.0	896.0	64	world	[20, 71, -22]
2018/12/04 20:12:50	G4t1t4M1m0s4	sharonclaws	Bone Meal	15.0	735.0	49	world	[3, 73, 12]
2018/12/07 21:39:12	freakdown	sharonclaws	Bone Meal	15.0	15.0	1	world	[3, 73, 12]
2018/12/08 12:58:06	G4t1t4M1m0s4	K9us	Bone Meal	14.0	896.0	64	world	[20, 71, -22]
2018/12/08 12:58:08	G4t1t4M1m0s4	K9us	Bone Meal	14.0	238.0	17	world	[20, 71, -22]
2018/12/25 00:07:03	AteUrC00ki35	sharonclaws	Bone Meal	10.0	10.0	1	world	[3, 73, 12]
2018/12/25 00:07:05	AteUrC00ki35	sharonclaws	Bone Meal	10.0	640.0	64	world	[3, 73, 12]
2018/12/25 00:07:07	AteUrC00ki35	sharonclaws	Bone Meal	10.0	640.0	64	world	[3, 73, 12]
2018/12/25 00:07:08	AteUrC00ki35	sharonclaws	Bone Meal	10.0	640.0	64	world	[3, 73, 12]
2018/12/26 17:43:01	G4t1t4M1m0s4	sharonclaws	Bone Meal	10.0	640.0	64	world	[3, 73, 12]
2018/12/26 17:43:04	G4t1t4M1m0s4	sharonclaws	Bone Meal	10.0	640.0	64	world	[3, 73, 12]
2018/12/26 17:43:59	G4t1t4M1m0s4	sharonclaws	Bone Meal	10.0	640.0	64	world	[3, 73, 12]
2019/01/08 00:07:13	__Wildfire_	sharonclaws	Bone Meal	10.0	640.0	64	world	[3, 73, 12]
2019/01/09 03:41:04	freakdown	sharonclaws	Bone Meal	10.0	10.0	1	world	[3, 73, 12]
2019/01/27 01:22:33	AteUrC00ki35	sharonclaws	Bone Meal	10.0	640.0	64	world	[3, 73, 12]
2019/01/27 01:22:35	AteUrC00ki35	sharonclaws	Bone Meal	10.0	640.0	64	world	[3, 73, 12]
2019/01/27 01:30:09	AteUrC00ki35	sharonclaws	Bone Meal	10.0	640.0	64	world	[3, 73, 12]
