year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	20	00	35	39	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	25	14	08	48	3thanat0r	Cardano_ff	Book	1000.0	1000.0	1	world_the_end	[269, 3, -5]
2018	09	25	14	08	49	3thanat0r	Cardano_ff	Book	1000.0	1000.0	1	world_the_end	[269, 3, -5]
2018	09	25	14	08	50	3thanat0r	Cardano_ff	Book	1000.0	1000.0	1	world_the_end	[269, 3, -5]
2018	09	28	09	53	31	spfoia	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	28	09	53	32	spfoia	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	28	09	53	34	spfoia	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	28	09	53	35	spfoia	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	38	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	39	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	40	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	45	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	47	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	47	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	54	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	55	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	55	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	57	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	58	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	23	58	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	03	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	04	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	04	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	08	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	08	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	09	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	11	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	11	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	12	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	16	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	17	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	18	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	23	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	23	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	24	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	27	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	27	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
2018	09	30	15	24	28	NullCase	K9us	Book	250.0	250.0	1	world	[60, 71, -17]
