date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/07 16:36:37	Butokuden	AteUrC00ki35	Bookshelf	600.0	8400.0	14	world	[-346, 70, 81]
2018/10/09 19:45:01	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:02	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:02	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:03	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:03	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:04	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:05	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:05	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:06	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:06	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:07	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:07	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:08	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:09	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:10	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/09 19:45:54	Shahayhay	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:20	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:21	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:22	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:22	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:23	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:27	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:28	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:28	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:29	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:30	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:30	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:31	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
2018/10/19 20:28:32	Mr_Digs	AteUrC00ki35	Bookshelf	750.0	750.0	1	world	[-346, 70, 81]
