year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	01	25	15	22	44	Stormrunners	K9us	Bow#7C	39000.0	39000.0	1	world	[-107, 12, -9]
2019	02	03	00	56	30	JacobSterling	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	02	03	16	03	10	Mowilag	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	02	04	19	40	02	JacobSterling	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	02	14	16	36	52	Miljanee	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	02	16	11	52	47	BelegStrongbow	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	02	17	13	35	49	Miljanee	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	03	03	09	08	21	Miljanee	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	03	10	13	55	53	Miljanee	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	03	16	02	18	06	dandenoth	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	03	19	20	34	34	coconewell92	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	04	05	15	38	28	daboogaoogaman	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	04	08	10	41	55	frozenhammerz	K9us	Bow#7C	31800.0	31800.0	1	world	[29, 83, -15]
2019	05	20	23	27	54	daboogaoogaman	K9us	Bow#7C	39000.0	39000.0	1	world	[-107, 12, -9]
2019	05	26	20	27	01	daboogaoogaman	K9us	Bow#7C	39000.0	39000.0	1	world	[-107, 12, -9]
2019	06	10	13	05	33	NiCe69	K9us	Bow#7C	49800.0	49800.0	1	world	[12, 68, -7]
2019	06	12	00	56	00	daboogaoogaman	K9us	Bow#7C	49800.0	49800.0	1	world	[12, 68, -7]
2019	06	15	07	16	32	NiCe69	K9us	Bow#7C	49800.0	49800.0	1	world	[12, 68, -7]
2019	06	17	12	54	25	NiCe69	K9us	Bow#7C	49800.0	49800.0	1	world	[12, 68, -7]
2019	06	20	10	59	40	rockfejset	K9us	Bow#7C	49800.0	49800.0	1	world	[12, 68, -7]
