year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	01	13	35	49	MajaAstrid	K9us	Bow	250.0	250.0	1	world	[48, 72, -24]
2018	10	19	08	27	42	Ture2012	K9us	Bow	100.0	100.0	1	world	[48, 72, -24]
2018	10	27	03	43	42	NorraLigan	K9us	Bow	100.0	100.0	1	world	[48, 72, -24]
2018	11	01	03	34	40	NorraLigan	K9us	Bow	100.0	100.0	1	world	[48, 72, -24]
2018	11	01	03	34	40	NorraLigan	K9us	Bow	100.0	100.0	1	world	[48, 72, -24]
2018	11	08	13	31	55	Aewheros	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	11	12	14	23	55	Rille3000	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	11	17	00	23	11	pudzo	Remixster	Bow	25.0	25.0	1	world	[-1000, 11, 1378]
2018	11	17	00	23	13	pudzo	Remixster	Bow	25.0	50.0	2	world	[-1000, 11, 1378]
2018	11	17	00	23	14	pudzo	Remixster	Bow	25.0	50.0	2	world	[-1000, 11, 1378]
2018	11	17	00	23	21	pudzo	Remixster	Bow	25.0	50.0	2	world	[-1000, 11, 1378]
2018	11	17	06	22	38	NorraLigan	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	11	17	06	22	44	NorraLigan	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	11	17	06	25	30	NorraLigan	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	11	17	06	25	31	NorraLigan	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	11	17	06	25	32	NorraLigan	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	11	17	06	25	32	NorraLigan	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	11	17	06	25	33	NorraLigan	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	11	17	06	25	34	NorraLigan	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	11	17	06	25	35	NorraLigan	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	12	02	03	24	30	NorraLigan	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	12	06	12	32	03	Rille3000	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2018	12	06	12	32	04	Rille3000	K9us	Bow	300.0	300.0	1	world	[48, 72, -24]
2019	02	02	17	32	55	freakdown	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	12	13	41	31	Miljanee	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	15	19	07	37	BelegStrongbow	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	05	46	27	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	05	46	29	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	05	46	30	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	05	46	33	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	07	29	11	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	07	29	12	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	07	29	13	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	07	29	13	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	07	29	14	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	07	29	14	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	07	29	15	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	07	29	16	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	07	29	16	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	02	23	07	29	17	EnDristON	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	03	17	16	34	04	Technerd05	Remix_D_Miner	Bow	150.0	150.0	1	world	[2990, 11, 4]
2019	05	02	14	52	57	daboogaoogaman	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	05	05	15	35	15	daboogaoogaman	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	05	09	15	33	10	ODPetrus	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	05	09	15	33	25	ODPetrus	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	06	05	22	19	17	Oaken_Ralph	Remix_D_Miner	Bow	100.0	100.0	1	world	[1, 63, -1992]
2019	06	07	02	53	54	Th3FerrariStig2	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	06	30	07	52	28	kahlayla	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	06	30	22	57	23	kahlayla	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	07	20	13	39	33	Mathemagician4	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	07	20	16	38	20	sparkXstorm	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	07	24	22	38	20	Impression28	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2019	09	12	15	08	27	vemppasalo	sharonclaws	Bow	20.0	20.0	1	world	[-14, 59, 10]
2020	01	24	15	58	18	Sr_Suazo	Vallenius	Bow	20.0	20.0	1	world	[-14, 59, 10]
2020	01	24	16	00	18	Sr_Suazo	Vallenius	Bow	20.0	20.0	1	world	[-14, 59, 10]
2020	02	26	16	10	35	Miss_Animator	Vallenius	Bow	20.0	20.0	1	world	[-14, 59, 10]
2020	03	27	07	55	35	Combat_Biscuit	Remix_D_Miner	Bow	50.0	50.0	1	world	[-99, 11, 998]
2020	03	27	07	55	36	Combat_Biscuit	Remix_D_Miner	Bow	50.0	50.0	1	world	[-99, 11, 998]
2020	03	28	03	26	32	NorraLigan	Remix_D_Miner	Bow	100.0	100.0	1	world	[-5, 64, -2989]
