date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/03/17 18:51:40	frozenhammerz	Aewheros	Brain Coral Block	1000.0	1000.0	1	world	[107, 49, -47]
2019/03/17 18:51:40	frozenhammerz	Aewheros	Brain Coral Block	1000.0	1000.0	1	world	[107, 49, -47]
2019/03/17 18:51:41	frozenhammerz	Aewheros	Brain Coral Block	1000.0	1000.0	1	world	[107, 49, -47]
2019/03/17 18:51:42	frozenhammerz	Aewheros	Brain Coral Block	1000.0	1000.0	1	world	[107, 49, -47]
2019/03/17 18:51:43	frozenhammerz	Aewheros	Brain Coral Block	1000.0	1000.0	1	world	[107, 49, -47]
2019/05/03 07:32:53	frozenhammerz	Aewheros	Brain Coral Block	1000.0	1000.0	1	world	[107, 49, -47]
2019/05/03 07:32:54	frozenhammerz	Aewheros	Brain Coral Block	1000.0	1000.0	1	world	[107, 49, -47]
2019/05/03 07:32:54	frozenhammerz	Aewheros	Brain Coral Block	1000.0	1000.0	1	world	[107, 49, -47]
2019/05/31 12:32:11	K9us	Aewheros	Brain Coral Block	1000.0	1000.0	1	world	[107, 49, -47]
2019/05/31 12:35:24	K9us	Aewheros	Brain Coral Block	1000.0	1000.0	1	world	[107, 49, -47]
