date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/15 22:13:34	cmanley1981	AteUrC00ki35	Brick	25.0	25.0	1	world	[-346, 74, 81]
2018/10/15 22:13:36	cmanley1981	AteUrC00ki35	Brick	25.0	25.0	1	world	[-346, 74, 81]
2018/10/15 22:13:37	cmanley1981	AteUrC00ki35	Brick	25.0	25.0	1	world	[-346, 74, 81]
2018/10/15 22:13:38	cmanley1981	AteUrC00ki35	Brick	25.0	25.0	1	world	[-346, 74, 81]
2018/10/15 22:42:52	cmanley1981	AteUrC00ki35	Brick	25.0	1600.0	64	world	[-346, 74, 81]
2018/10/15 22:42:55	cmanley1981	AteUrC00ki35	Brick	25.0	1600.0	64	world	[-346, 74, 81]
2018/10/15 22:42:58	cmanley1981	AteUrC00ki35	Brick	25.0	700.0	28	world	[-346, 74, 81]
2019/01/13 07:32:41	Aewheros	AteUrC00ki35	Brick	10.0	640.0	64	world	[-346, 74, 81]
2019/02/24 23:57:01	freakdown	AteUrC00ki35	Brick	10.0	640.0	64	world	[-346, 74, 81]
2019/03/18 17:38:02	magemagemege	K9us	Brick	44.0	88.0	2	world	[-1873, 18, 1572]
