year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	01	11	23	45	19	Aewheros	K9us	Bricks	180.0	180.0	1	world	[-109, 6, -13]
2019	03	26	12	54	03	ezrone	K9us	Bricks	180.0	11520.0	64	world	[-109, 6, -13]
2019	04	06	14	03	12	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	04	11	21	16	58	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	04	11	21	17	01	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	04	11	21	17	02	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	04	11	21	17	05	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	04	11	21	17	07	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	04	11	21	17	09	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	04	11	21	17	10	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	04	11	21	17	12	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	04	11	21	17	13	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	04	11	21	17	22	sharonclaws	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	05	31	19	29	40	AspenGamgee	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
2019	06	14	18	04	33	AspenGamgee	Talrinion	Bricks	150.0	9600.0	64	world	[295, 80, 33]
