year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	14	10	00	56	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	03	14	10	23	42	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	03	14	10	23	43	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	03	17	18	51	26	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	03	17	18	51	31	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	03	17	18	51	31	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	03	17	18	51	32	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	03	17	18	51	32	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	03	17	18	51	33	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	05	03	07	32	47	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	05	03	07	32	48	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	05	03	07	32	48	frozenhammerz	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	05	31	12	32	12	K9us	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
2019	05	31	12	35	23	K9us	Aewheros	Bubble Coral Block	1000.0	1000.0	1	world	[107, 49, -50]
