year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	22	19	24	54	frozenhammerz	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	09	22	19	24	55	frozenhammerz	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	09	22	19	24	56	frozenhammerz	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	09	22	19	24	56	frozenhammerz	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	09	22	19	24	57	frozenhammerz	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	09	22	19	24	59	frozenhammerz	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	09	22	19	25	00	frozenhammerz	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	09	22	19	25	00	frozenhammerz	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	09	22	19	25	01	frozenhammerz	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	09	22	19	59	03	Butokuden	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	10	03	16	37	40	Stormrunners	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	10	03	16	37	41	Stormrunners	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	10	03	16	37	42	Stormrunners	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	10	03	16	37	44	Stormrunners	K9us	Bucket	40.0	40.0	1	world	[50, 73, -25]
2018	11	05	15	10	10	Stormrunners	K9us	Bucket	150.0	150.0	1	world	[50, 73, -25]
2018	11	24	21	36	55	Mowilag	K9us	Bucket	150.0	150.0	1	world	[50, 73, -25]
2018	11	24	21	36	56	Mowilag	K9us	Bucket	150.0	150.0	1	world	[50, 73, -25]
2018	12	02	16	09	34	G4t1t4M1m0s4	K9us	Bucket	150.0	150.0	1	world	[50, 73, -25]
2019	01	12	13	39	50	Captain_Handsome	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	02	01	19	26	14	yoikosugi	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	02	14	18	13	AshGreninja2579	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	05	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	05	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	06	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	06	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	07	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	08	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	09	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	10	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	11	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	11	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	06	17	53	12	ezrone	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	16	22	03	46	Colonel_Ruff	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	16	22	03	47	Colonel_Ruff	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	16	22	03	48	Colonel_Ruff	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	16	22	03	50	Colonel_Ruff	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	16	22	03	51	Colonel_Ruff	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	16	22	03	52	Colonel_Ruff	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	16	22	03	53	Colonel_Ruff	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	16	22	03	54	Colonel_Ruff	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	16	22	03	55	Colonel_Ruff	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	03	16	22	03	56	Colonel_Ruff	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	04	04	17	27	28	QwubHanoj	K9us	Bucket	50.0	50.0	1	world	[35, 72, -28]
2019	08	12	20	27	34	ezrone	Lego_UOE	Bucket	100.0	100.0	1	world	[285, 80, 90]
2019	08	13	13	17	21	ezrone	Lego_UOE	Bucket	200.0	200.0	1	world	[285, 80, 88]
2019	08	17	13	15	35	AC391694	Vivifoxx	Bucket	50.0	50.0	1	world	[311, 71, 19]
