date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/22 18:04:50	Cardano_ff	Remixster	Cactus Green	62.5	4000.0	64	world	[69, 70, 10]
2018/09/22 19:37:36	sharonclaws	Remixster	Cactus Green	62.5	125.0	2	world	[69, 70, 10]
2018/09/26 16:59:11	Rehns	Remixster	Cactus Green	50.0	400.0	8	world	[69, 70, 10]
2018/09/26 16:59:13	Rehns	Remixster	Cactus Green	50.0	400.0	8	world	[69, 70, 10]
2018/09/29 13:43:28	Daria_Knight	Remixster	Cactus Green	50.0	400.0	8	world	[69, 70, 10]
2018/10/07 02:24:20	Dragonslair7	Remixster	Cactus Green	50.0	400.0	8	world	[69, 70, 10]
2018/10/18 18:44:45	Shahayhay	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/10/18 18:44:45	Shahayhay	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/10/18 18:44:47	Shahayhay	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/10/23 11:34:51	3thanat0r	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/10/23 11:34:51	3thanat0r	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/10/23 11:34:52	3thanat0r	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/10/28 00:20:49	MiChupacabaras	Remixster	Cactus Green	12.5	100.0	8	world	[69, 70, 10]
2018/10/28 00:20:53	MiChupacabaras	Remixster	Cactus Green	12.5	100.0	8	world	[69, 70, 10]
2018/11/04 01:09:33	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/04 01:09:34	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/04 01:09:35	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/04 01:09:35	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/04 01:09:36	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/04 14:37:05	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:01	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:01	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:02	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:02	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:03	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:04	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:04	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:05	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:06	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:07	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:07	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:08	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:08	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:10	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:11	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/07 22:27:14	Captain_Handsome	sharonclaws	Cactus Green	5.0	5.0	1	world	[3, 73, 10]
2018/11/08 13:04:09	Aewheros	Remixster	Cactus Green	12.5	100.0	8	world	[69, 70, 10]
2018/11/12 10:21:58	pudzo	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/23 18:53:01	Aewheros	sharonclaws	Cactus Green	5.0	320.0	64	world	[3, 73, 10]
2018/11/25 02:42:38	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:39	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:40	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:41	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:42	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:43	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:44	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:45	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:46	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:46	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:47	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:48	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
2018/11/25 02:42:49	TechnoWiking	Remixster	Cactus Green	6.25	50.0	8	world	[56, 72, 16]
