year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	06	23	57	47	__Wildfire_	LightsChaos	Carrot	4.0625	130.0	32	world	[25, 69, 38]
2018	09	07	01	02	08	sharonclaws	LightsChaos	Carrot	4.0625	260.0	64	world	[25, 69, 38]
2018	09	07	01	02	09	sharonclaws	LightsChaos	Carrot	4.0625	260.0	64	world	[25, 69, 38]
2018	09	07	01	02	09	sharonclaws	LightsChaos	Carrot	4.0625	260.0	64	world	[25, 69, 38]
2018	09	07	01	02	10	sharonclaws	LightsChaos	Carrot	4.0625	260.0	64	world	[25, 69, 38]
2018	09	07	01	02	10	sharonclaws	LightsChaos	Carrot	4.0625	260.0	64	world	[25, 69, 38]
2018	09	07	01	02	13	sharonclaws	LightsChaos	Carrot	4.0625	260.0	64	world	[25, 69, 38]
2018	09	07	01	02	19	sharonclaws	LightsChaos	Carrot	4.0625	260.0	64	world	[25, 69, 38]
2018	09	07	01	02	20	sharonclaws	LightsChaos	Carrot	4.0625	260.0	64	world	[25, 69, 38]
2018	09	07	17	59	40	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	17	59	40	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	17	59	41	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	17	59	42	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	17	59	42	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	17	59	43	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	17	59	43	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	17	59	45	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	18	00	52	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	18	00	53	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	18	00	53	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	18	00	54	sharonclaws	LightsChaos	Carrot	4.6875	300.0	64	world	[25, 69, 39]
2018	09	07	18	00	55	sharonclaws	LightsChaos	Carrot	4.6875	150.0	32	world	[25, 69, 39]
