date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/05 18:22:55	Baskerboss	Srood	Chicken	0.0	0.0	1	world	[39, 73, -141]
2018/09/06 19:01:23	33_Shikamaru	Srood	Chicken	0.0	0.0	1	world	[39, 73, -141]
2018/09/06 22:22:12	Shahayhay	Srood	Chicken	0.0	0.0	1	world	[39, 73, -141]
2018/09/06 22:22:16	Shahayhay	Srood	Chicken	0.0	0.0	1	world	[39, 73, -141]
2018/09/06 22:22:17	Shahayhay	Srood	Chicken	0.0	0.0	1	world	[39, 73, -141]
2019/01/09 19:54:55	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/09 19:54:56	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/09 19:54:56	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/09 19:54:57	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/09 19:54:58	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/09 19:54:58	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/09 19:54:59	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/09 19:55:00	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/09 19:55:00	K9us	NullCase	Chicken	0.05	2.5	50	world	[-63, 63, 26]
2019/01/20 09:23:14	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/20 09:23:15	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/20 09:23:16	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/20 09:23:16	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/20 09:23:17	K9us	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/20 09:23:17	K9us	NullCase	Chicken	0.049999999999999996	3.05	61	world	[-63, 63, 26]
2019/01/29 19:17:23	Talrinion	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/01/29 19:17:44	Talrinion	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/02/07 18:29:30	magemagemege	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
2019/02/07 18:29:31	magemagemege	NullCase	Chicken	0.049999999999999996	2.05	41	world	[-63, 63, 26]
2019/02/08 11:28:47	magemagemege	NullCase	Chicken	0.05	1.25	25	world	[-63, 63, 26]
2019/02/20 12:02:09	magemagemege	NullCase	Chicken	0.05	3.2	64	world	[-63, 63, 26]
