year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	08	03	13	15	freakdown	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2018	12	08	03	13	28	freakdown	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2018	12	08	15	56	57	Stormrunners	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2018	12	29	01	07	24	Remixster	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2018	12	29	01	07	25	Remixster	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2018	12	29	01	07	25	Remixster	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2018	12	29	01	07	26	Remixster	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2018	12	29	01	07	27	Remixster	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2018	12	29	01	07	27	Remixster	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2018	12	29	01	07	28	Remixster	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2018	12	29	01	07	29	Remixster	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2019	01	07	15	16	02	Stormrunners	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2019	01	27	07	33	24	NorraLigan	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2019	01	27	07	33	43	NorraLigan	K9us	Chorus Fruit	3.0	3.0	1	world	[80, 67, -15]
2019	03	18	17	31	11	magemagemege	K9us	Chorus Fruit	3.0	192.0	64	world	[80, 67, -15]
2019	03	18	17	31	13	magemagemege	K9us	Chorus Fruit	3.0	192.0	64	world	[80, 67, -15]
2019	03	18	17	31	15	magemagemege	K9us	Chorus Fruit	3.0	192.0	64	world	[80, 67, -15]
