year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	14	00	11	22	NullCase	Dragonslair7	Clay Ball	2.0	128.0	64	world	[-346, 72, 81]
2018	10	14	00	11	23	NullCase	Dragonslair7	Clay Ball	2.0	128.0	64	world	[-346, 72, 81]
2018	10	14	00	11	24	NullCase	Dragonslair7	Clay Ball	2.0	128.0	64	world	[-346, 72, 81]
2018	10	14	00	11	25	NullCase	Dragonslair7	Clay Ball	2.0	128.0	64	world	[-346, 72, 81]
2018	10	14	00	11	29	NullCase	Dragonslair7	Clay Ball	2.0	22.0	11	world	[-346, 72, 81]
2018	10	15	22	43	19	cmanley1981	Dragonslair7	Clay Ball	3.33328125	213.33	64	world	[-346, 72, 81]
2018	10	15	22	43	22	cmanley1981	Dragonslair7	Clay Ball	3.33328125	213.33	64	world	[-346, 72, 81]
2018	10	15	22	43	24	cmanley1981	Dragonslair7	Clay Ball	3.33328125	213.33	64	world	[-346, 72, 81]
2018	10	15	23	36	39	cmanley1981	Dragonslair7	Clay Ball	3.33328125	213.33	64	world	[-346, 72, 81]
2018	10	15	23	36	40	cmanley1981	Dragonslair7	Clay Ball	3.33328125	213.33	64	world	[-346, 72, 81]
2018	10	15	23	36	41	cmanley1981	Dragonslair7	Clay Ball	3.33328125	213.33	64	world	[-346, 72, 81]
2018	10	15	23	36	42	cmanley1981	Dragonslair7	Clay Ball	3.33328125	213.33	64	world	[-346, 72, 81]
2018	10	15	23	36	42	cmanley1981	Dragonslair7	Clay Ball	3.33328125	213.33	64	world	[-346, 72, 81]
2018	10	15	23	36	43	cmanley1981	Dragonslair7	Clay Ball	3.33328125	213.33	64	world	[-346, 72, 81]
2018	10	15	23	36	44	cmanley1981	Dragonslair7	Clay Ball	3.3332500000000005	133.33	40	world	[-346, 72, 81]
2019	03	18	17	38	06	magemagemege	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	18	17	38	07	magemagemege	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	18	17	38	08	magemagemege	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	28	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	30	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	31	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	31	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	32	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	33	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	34	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	35	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	35	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	36	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	37	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	38	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	38	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	39	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	40	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	40	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	03	28	19	54	41	sharonclaws	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	14	18	15	11	NiCe69	K9us	Clay Ball	24.0	24.0	1	world	[-1877, 21, 1572]
2019	06	14	18	15	14	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	14	18	18	22	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	15	15	36	33	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	15	15	36	36	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	15	15	36	37	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	15	15	36	38	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	08	52	04	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	08	52	06	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	08	52	08	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	14	34	22	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	14	34	23	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	14	34	24	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	14	34	24	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	14	34	25	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	14	34	26	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	14	34	26	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	14	34	27	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	06	16	14	34	28	NiCe69	K9us	Clay Ball	24.0	1536.0	64	world	[-1877, 21, 1572]
2019	07	14	12	44	12	kuraudosukei	K9us	Clay Ball	33.0	2112.0	64	world	[-1877, 18, 1572]
2019	07	14	12	44	13	kuraudosukei	K9us	Clay Ball	33.0	2112.0	64	world	[-1877, 18, 1572]
2019	07	14	12	44	13	kuraudosukei	K9us	Clay Ball	33.0	2112.0	64	world	[-1877, 18, 1572]
2019	07	14	12	44	14	kuraudosukei	K9us	Clay Ball	33.0	2112.0	64	world	[-1877, 18, 1572]
2019	07	14	12	44	25	kuraudosukei	K9us	Clay Ball	30.0	1920.0	64	world	[-1877, 19, 1572]
2019	07	14	12	44	26	kuraudosukei	K9us	Clay Ball	30.0	1920.0	64	world	[-1877, 19, 1572]
2019	07	14	12	44	27	kuraudosukei	K9us	Clay Ball	30.0	1920.0	64	world	[-1877, 19, 1572]
2019	07	14	12	44	28	kuraudosukei	K9us	Clay Ball	30.0	1920.0	64	world	[-1877, 19, 1572]
2019	07	14	12	44	29	kuraudosukei	K9us	Clay Ball	30.0	1920.0	64	world	[-1877, 19, 1572]
2019	07	14	12	44	30	kuraudosukei	K9us	Clay Ball	30.0	1920.0	64	world	[-1877, 19, 1572]
