year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	02	05	26	57	Heronproject	__Wildfire_	Coal	0.78125	50.0	64	world	[32, 70, 5]
2018	09	02	05	26	59	Heronproject	__Wildfire_	Coal	0.78125	50.0	64	world	[32, 70, 5]
2018	09	02	05	27	00	Heronproject	__Wildfire_	Coal	0.78125	50.0	64	world	[32, 70, 5]
2018	09	02	05	27	00	Heronproject	__Wildfire_	Coal	0.78125	50.0	64	world	[32, 70, 5]
2018	09	02	05	27	01	Heronproject	__Wildfire_	Coal	0.78125	50.0	64	world	[32, 70, 5]
2018	09	02	05	27	01	Heronproject	__Wildfire_	Coal	0.78125	50.0	64	world	[32, 70, 5]
2018	09	02	05	29	38	Heronproject	__Wildfire_	Coal	0.78125	50.0	64	world	[32, 70, 5]
2018	09	02	05	29	39	Heronproject	__Wildfire_	Coal	0.78125	50.0	64	world	[32, 70, 5]
2018	09	02	05	29	39	Heronproject	__Wildfire_	Coal	0.78125	50.0	64	world	[32, 70, 5]
2018	09	02	05	29	40	Heronproject	__Wildfire_	Coal	0.78125	50.0	64	world	[32, 70, 5]
2018	09	02	17	20	30	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	31	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	32	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	32	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	33	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	33	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	34	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	34	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	35	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	37	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	37	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	38	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	39	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	39	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	40	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	40	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	41	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	42	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	02	17	20	42	Heronproject	LightsChaos	Coal	21.875	175.0	8	world	[24, 69, 38]
2018	09	25	00	47	36	Butokuden	K9us	Coal	23.4375	1500.0	64	world	[51, 71, -25]
2018	09	25	03	31	54	__Wildfire_	K9us	Coal	23.4375	1500.0	64	world	[51, 71, -25]
2018	09	25	03	31	55	__Wildfire_	K9us	Coal	23.4375	1500.0	64	world	[51, 71, -25]
2018	09	25	03	31	57	__Wildfire_	K9us	Coal	23.4375	1500.0	64	world	[51, 71, -25]
2018	09	25	03	31	58	__Wildfire_	K9us	Coal	23.4375	1500.0	64	world	[51, 71, -25]
2018	09	25	06	31	28	__Wildfire_	K9us	Coal	23.4375	1500.0	64	world	[51, 71, -25]
2018	09	25	06	31	29	__Wildfire_	K9us	Coal	23.4375	1500.0	64	world	[51, 71, -25]
2018	09	25	06	31	29	__Wildfire_	K9us	Coal	23.4375	1500.0	64	world	[51, 71, -25]
2018	09	25	06	31	30	__Wildfire_	K9us	Coal	23.4375	1500.0	64	world	[51, 71, -25]
