year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	02	05	28	31	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	28	33	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	28	34	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	28	34	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	28	35	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	27	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	28	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	29	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	29	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	30	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	30	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	31	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	31	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	32	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	33	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	33	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	34	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	36	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	36	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	37	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	37	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	38	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	05	36	40	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	17	12	42	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	17	12	43	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	17	12	43	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	17	12	44	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	17	12	45	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	17	12	45	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	17	12	46	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
2018	09	02	17	12	46	Heronproject	LightsChaos	Cobblestone	0.03125	2.0	64	world	[20, 69, 38]
