year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	02	20	07	21	Heronproject	Remixster	Cocoa Beans	4.6875	300.0	64	world	[70, 68, 20]
2018	10	18	18	44	42	Shahayhay	sharonclaws	Cocoa Beans	5.0	5.0	1	world	[3, 71, 12]
2018	10	20	17	52	12	pudzo	sharonclaws	Cocoa Beans	5.0	5.0	1	world	[3, 71, 12]
2018	10	23	07	09	48	Haksndot	sharonclaws	Cocoa Beans	5.0	320.0	64	world	[3, 71, 12]
2018	10	23	07	09	53	Haksndot	sharonclaws	Cocoa Beans	5.0	140.0	28	world	[3, 71, 12]
2018	10	31	13	29	50	FlarpvonKarma	Remixster	Cocoa Beans	18.75	300.0	16	world	[70, 68, 20]
2018	11	07	17	30	57	frozenhammerz	sharonclaws	Cocoa Beans	5.0	320.0	64	world	[3, 71, 12]
2018	11	07	17	30	59	frozenhammerz	sharonclaws	Cocoa Beans	5.0	300.0	60	world	[3, 71, 12]
2018	11	08	13	04	03	Aewheros	Remixster	Cocoa Beans	18.75	300.0	16	world	[70, 68, 20]
2018	11	10	17	53	25	Aewheros	AteUrC00ki35	Cocoa Beans	3.125	50.0	16	world	[-352, 70, 83]
2018	11	13	22	47	34	Shahayhay	sharonclaws	Cocoa Beans	5.0	320.0	64	world	[3, 71, 12]
2018	11	19	11	43	44	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	45	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	45	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	46	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	47	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	47	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	48	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	48	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	49	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	49	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	50	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	50	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	43	51	NullCase	Shahayhay	Cocoa Beans	0.5	32.0	64	world_the_end	[93, 57, -94]
2018	11	19	11	44	20	NullCase	Shahayhay	Cocoa Beans	0.5	31.0	62	world_the_end	[93, 57, -94]
2018	11	24	17	42	24	rubez	sharonclaws	Cocoa Beans	5.0	5.0	1	world	[3, 71, 12]
2018	11	25	15	35	21	K9us	AteUrC00ki35	Cocoa Beans	3.125	50.0	16	world	[-352, 70, 83]
2018	11	25	15	35	23	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	24	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	25	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	25	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	26	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	27	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	27	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	30	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	31	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	31	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	32	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	32	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	33	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	34	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	34	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	36	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	37	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	38	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	39	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	35	40	K9us	AteUrC00ki35	Cocoa Beans	3.125	150.0	48	world	[-352, 70, 83]
2018	11	25	15	37	50	K9us	AteUrC00ki35	Cocoa Beans	3.125	50.0	16	world	[-352, 70, 83]
2018	11	25	15	37	50	K9us	AteUrC00ki35	Cocoa Beans	3.125	50.0	16	world	[-352, 70, 83]
2018	11	25	15	37	51	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	37	51	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	37	52	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	37	53	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	37	53	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	37	54	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	37	55	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	37	56	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	37	57	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	37	58	K9us	AteUrC00ki35	Cocoa Beans	3.125	200.0	64	world	[-352, 70, 83]
2018	11	25	15	37	58	K9us	AteUrC00ki35	Cocoa Beans	3.125079365079365	196.88	63	world	[-352, 70, 83]
2018	11	25	15	37	59	K9us	AteUrC00ki35	Cocoa Beans	3.13	3.13	1	world	[-352, 70, 83]
2018	11	25	15	38	00	K9us	AteUrC00ki35	Cocoa Beans	3.125	6.25	2	world	[-352, 70, 83]
2018	11	25	15	38	01	K9us	AteUrC00ki35	Cocoa Beans	3.125	6.25	2	world	[-352, 70, 83]
2018	11	25	15	38	04	K9us	AteUrC00ki35	Cocoa Beans	3.125	18.75	6	world	[-352, 70, 83]
2018	11	25	15	38	05	K9us	AteUrC00ki35	Cocoa Beans	3.125	6.25	2	world	[-352, 70, 83]
2018	11	25	15	38	12	K9us	AteUrC00ki35	Cocoa Beans	3.125294117647059	53.13	17	world	[-352, 70, 83]
2018	11	25	15	38	19	K9us	AteUrC00ki35	Cocoa Beans	3.125	50.0	16	world	[-352, 70, 83]
2018	11	28	12	38	42	Aewheros	sharonclaws	Cocoa Beans	5.0	320.0	64	world	[3, 71, 12]
