year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	06	03	32	01	K9us	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	09	15	BredeBertil	fiddleswithstick	Cod	2.0	2.0	1	world	[40, 71, -27]
2018	09	08	09	09	25	BredeBertil	fiddleswithstick	Cod	2.0	2.0	1	world	[40, 71, -27]
2018	09	08	09	14	31	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	32	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	32	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	33	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	34	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	34	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	35	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	35	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	36	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	37	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	37	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	38	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	38	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	39	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	40	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	40	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	41	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	14	42	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	40	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	41	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	42	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	42	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	43	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	43	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	44	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	45	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	45	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	46	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	46	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	47	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	48	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	48	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	49	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	49	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	50	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	51	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	51	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	52	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	52	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	53	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	54	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	54	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	55	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	55	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	56	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	57	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	08	09	15	57	BredeBertil	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	10	11	35	02	Vrael1	fiddleswithstick	Cod	2.0	2.0	1	world	[40, 71, -27]
2018	09	11	16	13	44	Stormrunners	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	11	16	13	45	Stormrunners	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	11	16	13	45	Stormrunners	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	11	16	13	46	Stormrunners	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	11	16	13	47	Stormrunners	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	50	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	52	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	52	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	53	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	54	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	54	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	56	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	56	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	57	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	57	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	58	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	06	59	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	07	00	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	07	00	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
2018	09	14	18	07	01	DjungelJarl	fiddleswithstick	Cod	1.0	1.0	1	world	[162, 63, -97]
