year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	17	00	00	33	Colonel_Ruff	EnDristON	Comparator	500.0	7500.0	15	world	[260, 93, 126]
2019	03	17	16	28	02	coconewell92	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	03	25	00	23	40	Colonel_Ruff	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	03	25	00	23	41	Colonel_Ruff	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	03	25	00	23	41	Colonel_Ruff	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	03	25	00	23	42	Colonel_Ruff	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	03	25	00	23	44	Colonel_Ruff	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	03	25	21	00	42	Colonel_Ruff	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	03	25	21	00	43	Colonel_Ruff	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	03	25	21	00	43	Colonel_Ruff	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	03	25	21	00	44	Colonel_Ruff	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	03	25	21	00	44	Colonel_Ruff	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	05	18	24	44	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	05	18	24	45	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	05	18	24	46	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	05	18	24	47	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	05	18	24	48	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	05	18	24	49	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	05	18	24	50	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	05	18	24	51	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	05	18	24	52	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	05	18	24	52	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	04	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	05	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	06	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	06	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	07	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	07	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	08	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	09	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	09	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	10	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	10	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	07	23	47	11	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	04	13	21	29	44	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	03	07	10	33	frozenhammerz	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	03	07	10	34	frozenhammerz	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	03	07	10	34	frozenhammerz	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	18	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	18	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	19	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	19	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	20	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	20	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	21	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	22	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	23	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	24	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	24	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	25	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	26	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	26	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	05	26	17	42	27	daboogaoogaman	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	06	26	18	44	56	Oaken_Ralph	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	06	26	18	44	56	Oaken_Ralph	EnDristON	Comparator	500.0	500.0	1	world	[260, 93, 126]
2019	08	06	20	40	28	daboogaoogaman	EnDristON	Comparator	500.0	32000.0	64	world	[260, 93, 126]
2020	03	07	11	49	13	EnDristON	Minarchu	Comparator	225.0	225.0	1	world	[398, 79, 134]
2020	03	07	11	49	15	EnDristON	Minarchu	Comparator	225.0	225.0	1	world	[398, 79, 134]
2020	03	07	11	49	16	EnDristON	Minarchu	Comparator	225.0	225.0	1	world	[398, 79, 134]
2020	03	07	11	49	17	EnDristON	Minarchu	Comparator	225.0	225.0	1	world	[398, 79, 134]
2020	03	07	11	49	18	EnDristON	Minarchu	Comparator	225.0	225.0	1	world	[398, 79, 134]
2020	03	07	14	09	58	NullCase	Minarchu	Comparator	225.0	14400.0	64	world	[398, 79, 134]
