year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	01	00	54	11	NullCase	Remixster	Cooked Beef	7.5	330.0	44	world	[41, 71, 6]
2018	09	02	01	09	23	PizzaJon	Remixster	Cooked Beef	7.5	30.0	4	world	[41, 71, 6]
2018	09	02	01	13	45	PizzaJon	Remixster	Cooked Beef	7.5	30.0	4	world	[41, 71, 6]
2018	09	02	03	02	29	NullCase	Remixster	Cooked Beef	7.5	67.5	9	world	[41, 71, 6]
2018	09	06	04	56	03	HandyEric3	Remixster	Cooked Beef	11.25	45.0	4	world	[41, 71, 6]
2018	09	06	13	01	43	spfoia	Remixster	Cooked Beef	11.25	45.0	4	world	[41, 71, 6]
2018	09	06	13	01	45	spfoia	Remixster	Cooked Beef	11.25	45.0	4	world	[41, 71, 6]
2018	09	06	13	01	45	spfoia	Remixster	Cooked Beef	11.25	45.0	4	world	[41, 71, 6]
2018	09	06	13	01	46	spfoia	Remixster	Cooked Beef	11.25	45.0	4	world	[41, 71, 6]
2018	09	06	13	01	47	spfoia	Remixster	Cooked Beef	11.25	45.0	4	world	[41, 71, 6]
2018	09	09	00	36	42	Mr_Digs	Remixster	Cooked Beef	11.25	22.5	2	world	[41, 71, 6]
2018	09	11	14	43	00	NullCase	Remixster	Cooked Beef	15.0	60.0	4	world	[41, 71, 6]
2018	09	15	00	32	05	KromeNinja	Remixster	Cooked Beef	15.0	60.0	4	world	[41, 71, 6]
2018	09	15	14	26	10	Reven546	Remixster	Cooked Beef	15.0	60.0	4	world	[41, 71, 6]
2018	09	15	14	26	11	Reven546	Remixster	Cooked Beef	15.0	60.0	4	world	[41, 71, 6]
2018	09	15	14	26	12	Reven546	Remixster	Cooked Beef	15.0	60.0	4	world	[41, 71, 6]
2018	09	15	14	26	13	Reven546	Remixster	Cooked Beef	15.0	60.0	4	world	[41, 71, 6]
2018	09	15	14	26	13	Reven546	Remixster	Cooked Beef	15.0	60.0	4	world	[41, 71, 6]
2018	09	15	14	26	14	Reven546	Remixster	Cooked Beef	15.0	60.0	4	world	[41, 71, 6]
2018	09	15	14	26	14	Reven546	Remixster	Cooked Beef	15.0	60.0	4	world	[41, 71, 6]
2018	09	15	14	26	16	Reven546	Remixster	Cooked Beef	15.0	60.0	4	world	[41, 71, 6]
