year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	01	08	42	01	NullCase	__Wildfire_	Cooked Chicken	10.0	210.0	21	world	[33, 70, 5]
2018	09	01	10	09	30	NullCase	__Wildfire_	Cooked Chicken	10.0	280.0	28	world	[33, 70, 5]
2018	09	01	16	11	30	HandyEric3	NullCase	Cooked Chicken	5.3127272727272725	58.44	11	world	[73, 69, 1]
2018	09	02	11	46	32	L1mer	__Wildfire_	Cooked Chicken	7.0	35.0	5	world	[32, 70, 5]
2018	09	02	11	46	38	L1mer	__Wildfire_	Cooked Chicken	7.0	35.0	5	world	[32, 70, 5]
2018	09	02	11	46	38	L1mer	__Wildfire_	Cooked Chicken	7.0	35.0	5	world	[32, 70, 5]
2018	09	02	11	46	39	L1mer	__Wildfire_	Cooked Chicken	7.0	35.0	5	world	[32, 70, 5]
2018	09	02	11	46	39	L1mer	__Wildfire_	Cooked Chicken	7.0	35.0	5	world	[32, 70, 5]
2018	09	02	14	46	41	33_Shikamaru	NullCase	Cooked Chicken	5.3127272727272725	116.88	22	world	[73, 69, 1]
2018	09	02	19	50	48	33_Shikamaru	NullCase	Cooked Chicken	5.312222222222222	47.81	9	world	[73, 69, 1]
2018	09	03	04	00	08	NullCase	__Wildfire_	Cooked Chicken	7.0	448.0	64	world	[32, 70, 5]
2018	09	04	10	30	28	NullCase	__Wildfire_	Cooked Chicken	7.0	266.0	38	world	[32, 70, 5]
2018	09	05	04	03	53	__Wildfire_	NullCase	Cooked Chicken	6.25	75.0	12	world	[73, 69, 1]
2018	09	05	04	58	31	__Wildfire_	NullCase	Cooked Chicken	6.25	400.0	64	world	[73, 69, 1]
2018	09	05	20	47	26	Haksndot	NullCase	Cooked Chicken	6.25	100.0	16	world	[73, 69, 1]
2018	09	07	04	47	06	HandyEric3	NullCase	Cooked Chicken	6.25	400.0	64	world	[73, 69, 1]
2018	09	07	13	39	43	twyb	NullCase	Cooked Chicken	6.25	400.0	64	world	[73, 69, 1]
2018	09	08	11	21	33	Haksndot	NullCase	Cooked Chicken	6.25	400.0	64	world	[73, 69, 1]
2018	09	08	20	42	51	Haksndot	NullCase	Cooked Chicken	6.25	131.25	21	world	[73, 69, 1]
2018	09	09	18	38	45	MyNameIsTree	WoopidyDoopidy	Cooked Chicken	5.0	25.0	5	world	[-49, 66, 32]
2018	09	09	18	38	47	MyNameIsTree	WoopidyDoopidy	Cooked Chicken	5.0	25.0	5	world	[-49, 66, 32]
2018	09	10	15	20	12	Haksndot	NullCase	Cooked Chicken	3.125	200.0	64	world	[73, 70, 1]
2018	09	10	19	49	05	Haksndot	NullCase	Cooked Chicken	3.125	200.0	64	world	[73, 70, 1]
2018	09	10	19	49	07	Haksndot	NullCase	Cooked Chicken	3.125	200.0	64	world	[73, 70, 1]
2018	09	10	19	49	11	Haksndot	NullCase	Cooked Chicken	3.125	200.0	64	world	[73, 70, 1]
2018	09	11	10	42	15	Stormrunners	WoopidyDoopidy	Cooked Chicken	5.0	25.0	5	world	[-49, 66, 32]
2018	09	11	10	42	20	Stormrunners	WoopidyDoopidy	Cooked Chicken	5.0	25.0	5	world	[-49, 66, 32]
2018	09	12	10	35	35	Vrael1	WoopidyDoopidy	Cooked Chicken	5.0	25.0	5	world	[-49, 66, 32]
2018	09	18	06	09	52	K9us	NullCase	Cooked Chicken	0.171875	11.0	64	world	[73, 72, 1]
2018	09	19	02	35	41	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	35	43	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	35	44	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	35	47	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	35	47	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	36	00	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	36	01	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	36	02	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	36	03	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	36	04	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	36	08	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	36	09	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	36	10	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	36	12	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	36	22	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	43	21	ersi	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	19	02	43	21	ersi	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	19	02	43	22	ersi	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	19	02	43	23	ersi	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	19	02	43	24	ersi	__Wildfire_	Cooked Chicken	0.028	0.98	35	world	[31, 71, 7]
2018	09	19	02	43	43	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	43	46	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	43	48	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	43	50	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	43	51	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	43	54	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	02	44	21	ersi	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	05	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	06	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	07	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	08	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	09	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	09	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	10	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	10	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	11	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	12	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	25	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	26	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	30	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	30	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	31	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	31	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	32	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	32	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	33	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	33	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	34	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	35	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	35	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	36	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	36	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	37	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	19	16	54	38	Haksndot	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	20	19	19	07	lanadelkay	NullCase	Cooked Chicken	0.03125	2.0	64	world	[73, 72, 1]
2018	09	21	00	37	07	NullCase	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	00	37	08	NullCase	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	00	37	08	NullCase	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	00	37	09	NullCase	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	00	37	09	NullCase	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	00	37	10	NullCase	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	00	37	11	NullCase	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	00	37	11	NullCase	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	00	37	12	NullCase	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	00	37	13	NullCase	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	15	07	58	3thanat0r	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	18	10	48	3thanat0r	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	19	01	35	Troll_kin	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
2018	09	21	19	01	37	Troll_kin	__Wildfire_	Cooked Chicken	0.028125	1.8	64	world	[31, 71, 7]
