date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/01 13:10:38	Srood	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/01 14:05:48	Srood	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/01 14:05:49	Srood	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/01 16:07:22	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/01 16:07:51	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/01 16:07:54	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/01 16:07:57	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/01 16:07:59	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/01 16:08:01	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/01 16:09:01	HandyEric3	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/01 20:35:22	Srood	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 14:00:04	Char1348294	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 14:00:05	Char1348294	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 14:00:05	Char1348294	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 14:45:53	Srood	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 14:47:47	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 14:47:50	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 14:47:51	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 14:47:53	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 14:47:54	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 17:48:47	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 17:48:49	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 17:48:49	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 17:48:50	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/02 17:48:53	L1mer	K9us	Cooked Cod	6.5	65.0	10	world	[51, 72, -10]
2018/09/03 12:49:15	Srood	K9us	Cooked Cod	6.5	65.0	10	world	[34, 71, -6]
2018/09/03 13:31:17	Srood	K9us	Cooked Cod	6.5	65.0	10	world	[34, 71, -6]
2018/09/03 14:16:28	Srood	K9us	Cooked Cod	6.5	65.0	10	world	[34, 71, -6]
