year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	02	10	23	59	adr3n	WoopidyDoopidy	Cooked Mutton	13.0	65.0	5	world	[-51, 66, 32]
2018	09	08	07	05	25	BredeBertil	WoopidyDoopidy	Cooked Mutton	6.0	30.0	5	world	[-51, 66, 32]
2018	09	21	21	15	31	Char1348294	WoopidyDoopidy	Cooked Mutton	6.0	30.0	5	world	[-51, 66, 32]
2018	11	10	14	39	32	TechnoWiking	WoopidyDoopidy	Cooked Mutton	6.0	30.0	5	world	[-51, 66, 32]
2018	11	10	14	39	32	TechnoWiking	WoopidyDoopidy	Cooked Mutton	6.0	30.0	5	world	[-51, 66, 32]
2018	11	10	14	39	33	TechnoWiking	WoopidyDoopidy	Cooked Mutton	6.0	30.0	5	world	[-51, 66, 32]
2018	11	10	14	39	34	TechnoWiking	WoopidyDoopidy	Cooked Mutton	6.0	30.0	5	world	[-51, 66, 32]
2018	11	24	18	22	05	Aewheros	Captain_Handsome	Cooked Mutton	5.0	320.0	64	world	[15, 71, -45]
2019	02	05	19	36	22	coconewell92	WoopidyDoopidy	Cooked Mutton	6.0	30.0	5	world	[-51, 66, 32]
2019	02	24	08	29	40	Miljanee	EnDristON	Cooked Mutton	300.0	300.0	1	world	[-294, 68, -453]
2019	05	18	15	46	12	Vaaaazquez	AshGreninja2579	Cooked Mutton	20.0	20.0	1	world	[330, 86, 493]
2019	05	18	15	46	14	Vaaaazquez	AshGreninja2579	Cooked Mutton	20.0	20.0	1	world	[330, 86, 493]
2019	05	18	15	46	16	Vaaaazquez	AshGreninja2579	Cooked Mutton	20.0	20.0	1	world	[330, 86, 493]
2019	05	18	15	46	17	Vaaaazquez	AshGreninja2579	Cooked Mutton	20.0	20.0	1	world	[330, 86, 493]
2019	05	18	15	46	18	Vaaaazquez	AshGreninja2579	Cooked Mutton	20.0	20.0	1	world	[330, 86, 493]
2019	05	18	15	46	20	Vaaaazquez	AshGreninja2579	Cooked Mutton	20.0	100.0	5	world	[330, 86, 493]
