date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/11/03 22:56:33	MiChupacabaras	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:02:58	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:00	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:01	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:02	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:02	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:03	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:03	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:04	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:05	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:05	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:06	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 14:03:06	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 18:22:09	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 18:22:09	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 18:22:10	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 18:22:11	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 18:22:12	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 18:22:13	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 18:22:14	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 18:22:14	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 18:22:15	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
2018/11/24 18:22:16	Aewheros	Captain_Handsome	Cooked Porkchop	5.0	320.0	64	world	[15, 71, -43]
