year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	04	17	55	08	Shahayhay	AteUrC00ki35	Cookie	0.625	5.0	8	world	[-348, 70, 82]
2018	10	31	18	40	45	Stormrunners	AteUrC00ki35	Cookie	0.625	5.0	8	world	[-347, 70, 83]
2018	10	31	18	40	46	Stormrunners	AteUrC00ki35	Cookie	0.625	5.0	8	world	[-347, 70, 83]
2018	10	31	18	40	46	Stormrunners	AteUrC00ki35	Cookie	0.625	5.0	8	world	[-347, 70, 83]
2018	10	31	18	40	47	Stormrunners	AteUrC00ki35	Cookie	0.625	5.0	8	world	[-347, 70, 83]
2018	11	10	13	47	11	TechnoWiking	AteUrC00ki35	Cookie	100.0	100.0	1	world	[-347, 70, 83]
2018	11	10	13	47	12	TechnoWiking	AteUrC00ki35	Cookie	100.0	100.0	1	world	[-347, 70, 83]
2018	11	10	13	47	12	TechnoWiking	AteUrC00ki35	Cookie	100.0	100.0	1	world	[-347, 70, 83]
2018	12	21	16	38	19	Shahayhay	AteUrC00ki35	Cookie	1.0	64.0	64	world	[-347, 70, 83]
2018	12	21	16	38	20	Shahayhay	AteUrC00ki35	Cookie	1.0	64.0	64	world	[-347, 70, 83]
2018	12	21	16	38	20	Shahayhay	AteUrC00ki35	Cookie	1.0	64.0	64	world	[-347, 70, 83]
2018	12	24	00	10	17	Shahayhay	AteUrC00ki35	Cookie	1.0	64.0	64	world	[-347, 70, 83]
2018	12	24	00	10	18	Shahayhay	AteUrC00ki35	Cookie	1.0	64.0	64	world	[-347, 70, 83]
2018	12	24	00	10	20	Shahayhay	AteUrC00ki35	Cookie	1.0	64.0	64	world	[-347, 70, 83]
2018	12	25	15	57	12	Stormrunners	Dragonslair7	Cookie	0.08333333333333333	1.0	12	world	[-432, 64, 113]
2019	03	21	11	42	17	EnDristON	Dragonslair7	Cookie	0.8333333333333334	10.0	12	world	[-432, 64, 113]
2019	03	23	08	07	39	NorraLigan	Dragonslair7	Cookie	0.8333333333333334	10.0	12	world	[-432, 64, 113]
2019	03	23	08	07	41	NorraLigan	Dragonslair7	Cookie	0.8333333333333334	10.0	12	world	[-432, 64, 113]
2020	01	13	19	14	54	Tomter	Vivifoxx	Cookie	0.5	27.0	54	world	[-313, 71, -491]
2020	03	06	21	49	53	VeillofSorrow	Vivifoxx	Cookie	0.5	1.0	2	world	[-313, 71, -491]
2020	03	06	21	51	44	TheMotherBrayne	Vivifoxx	Cookie	0.5	26.0	52	world	[-313, 71, -491]
