year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	14	22	10	10	Mr_Digs	Baskerboss	Cracked Stone Bricks	3.125	200.0	64	world	[106, 96, -9]
2018	10	14	22	22	19	Mr_Digs	Baskerboss	Cracked Stone Bricks	3.125	200.0	64	world	[106, 96, -9]
2018	10	14	22	22	22	Mr_Digs	Baskerboss	Cracked Stone Bricks	3.125	200.0	64	world	[106, 96, -9]
2020	01	13	19	21	30	Tomter	EnDristON	Cracked Stone Bricks	40.0	2560.0	64	world	[-374, 73, -449]
2020	01	13	19	21	32	Tomter	EnDristON	Cracked Stone Bricks	20.0	20.0	1	world	[-374, 74, -449]
2020	01	13	19	21	34	Tomter	EnDristON	Cracked Stone Bricks	40.0	2560.0	64	world	[-374, 73, -449]
2020	01	13	19	21	34	Tomter	EnDristON	Cracked Stone Bricks	40.0	2560.0	64	world	[-374, 73, -449]
2020	01	13	19	21	35	Tomter	EnDristON	Cracked Stone Bricks	40.0	2560.0	64	world	[-374, 73, -449]
2020	01	13	19	21	36	Tomter	EnDristON	Cracked Stone Bricks	40.0	2560.0	64	world	[-374, 73, -449]
2020	01	13	19	21	37	Tomter	EnDristON	Cracked Stone Bricks	40.0	2560.0	64	world	[-374, 73, -449]
2020	01	13	19	21	37	Tomter	EnDristON	Cracked Stone Bricks	40.0	2560.0	64	world	[-374, 73, -449]
2020	01	13	19	21	41	Tomter	EnDristON	Cracked Stone Bricks	40.0	2560.0	64	world	[-374, 73, -449]
