year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	13	14	20	37	Stormrunners	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2018	10	26	17	17	32	Stormrunners	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2018	11	03	22	11	15	Captain_Handsome	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2018	11	04	01	09	53	Captain_Handsome	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2018	11	04	01	09	54	Captain_Handsome	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2018	11	04	01	09	54	Captain_Handsome	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2018	11	04	01	09	55	Captain_Handsome	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2018	11	23	18	53	00	Aewheros	sharonclaws	Cyan Dye	5.0	320.0	64	world	[3, 72, 10]
2018	11	28	12	38	34	Aewheros	sharonclaws	Cyan Dye	5.0	320.0	64	world	[3, 72, 10]
2018	11	29	05	09	21	freakdown	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2018	12	01	20	28	08	freakdown	sharonclaws	Cyan Dye	5.0	320.0	64	world	[3, 72, 10]
2018	12	04	20	12	41	G4t1t4M1m0s4	sharonclaws	Cyan Dye	5.0	320.0	64	world	[3, 72, 10]
2018	12	14	11	28	13	TheScrubJay	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2018	12	16	03	24	06	NorraLigan	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2018	12	19	13	31	36	G4t1t4M1m0s4	sharonclaws	Cyan Dye	5.0	320.0	64	world	[3, 72, 10]
2018	12	25	21	27	35	Captain_Handsome	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	08	00	06	17	__Wildfire_	sharonclaws	Cyan Dye	5.0	320.0	64	world	[3, 72, 10]
2019	01	09	03	41	05	freakdown	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	02	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	02	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	03	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	04	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	04	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	05	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	05	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	06	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	07	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	07	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	08	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	08	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	09	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	10	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	10	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	19	23	28	11	ZeroGDucks	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	31	23	59	53	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	31	23	59	54	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	31	23	59	54	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	31	23	59	55	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	31	23	59	56	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	01	31	23	59	59	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	14	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	15	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	16	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	36	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	38	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	38	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	39	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	41	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	41	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	42	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	42	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	43	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	44	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	44	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	45	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	45	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	46	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	47	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	47	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	48	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	48	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	49	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	50	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	50	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	51	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	51	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	52	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	53	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	53	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	54	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	54	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	55	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	56	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	56	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	57	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	57	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	58	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	59	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	00	59	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	00	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	00	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	01	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	02	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	02	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	03	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	03	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	04	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	05	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	09	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	09	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	10	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	10	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	11	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	12	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	23	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	24	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	42	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	43	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	55	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	56	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	56	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	57	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	58	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	58	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	01	59	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	00	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	00	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	02	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	03	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	04	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	05	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	05	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	06	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	07	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	07	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	08	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	09	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	10	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	11	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	11	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	12	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
2019	02	01	00	02	13	Nocturna12	sharonclaws	Cyan Dye	5.0	5.0	1	world	[3, 72, 10]
