date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/30 23:53:27	AteUrC00ki35	Remixster	Dandelion Yellow	50.0	50.0	1	world	[70, 70, 9]
2018/10/04 01:28:25	AteUrC00ki35	Remixster	Dandelion Yellow	50.0	400.0	8	world	[70, 70, 9]
2018/10/08 23:24:14	pudzo	Remixster	Dandelion Yellow	50.0	400.0	8	world	[70, 70, 9]
2018/10/09 08:40:09	K9us	Remixster	Dandelion Yellow	50.0	250.0	5	world	[70, 70, 9]
2018/10/10 01:52:50	NullCase	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[1, 71, 10]
2018/10/13 03:43:37	Daria_Knight	Remixster	Dandelion Yellow	50.0	400.0	8	world	[70, 70, 9]
2018/10/18 18:44:37	Shahayhay	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[1, 71, 10]
2018/10/18 18:44:38	Shahayhay	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[1, 71, 10]
2018/10/18 18:44:39	Shahayhay	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[1, 71, 10]
2018/10/19 03:58:27	K9us	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[1, 71, 10]
2018/10/19 03:58:28	K9us	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[1, 71, 10]
2018/10/19 03:58:29	K9us	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[1, 71, 10]
2018/10/28 00:20:55	MiChupacabaras	Remixster	Dandelion Yellow	12.5	100.0	8	world	[70, 70, 9]
2018/10/28 00:20:55	MiChupacabaras	Remixster	Dandelion Yellow	12.5	100.0	8	world	[70, 70, 9]
2018/11/08 13:04:12	Aewheros	Remixster	Dandelion Yellow	12.5	100.0	8	world	[70, 70, 9]
2018/11/10 21:35:31	Shahayhay	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[1, 71, 10]
2018/11/21 03:51:15	Phantom_Ark	Remixster	Dandelion Yellow	6.25	50.0	8	world	[56, 72, 20]
2018/11/23 18:52:54	Aewheros	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[1, 71, 10]
2018/11/28 12:39:00	Aewheros	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[1, 71, 10]
2018/11/28 12:39:01	Aewheros	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[1, 71, 10]
2018/11/28 12:39:02	Aewheros	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[1, 71, 10]
2018/12/02 23:31:00	freakdown	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[1, 71, 10]
2018/12/06 03:36:54	freakdown	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[1, 71, 10]
2018/12/19 12:43:36	AteUrC00ki35	Remixster	Dandelion Yellow	6.25	50.0	8	world	[56, 72, 20]
2018/12/24 20:00:03	__Wildfire_	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[1, 71, 10]
2019/01/09 03:41:06	freakdown	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[1, 71, 10]
2019/01/27 05:11:21	NorraLigan	K9us	Dandelion Yellow	5.5	5.5	1	world	[-1880, 6, 1585]
2019/02/07 19:29:31	nilssssss	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/02/08 00:17:19	freakdown	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/02/26 15:36:02	BelegStrongbow	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/02/26 20:03:39	ZeroGDucks	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/02/26 21:21:55	BelegStrongbow	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/02/26 21:21:56	BelegStrongbow	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/02/26 21:21:58	BelegStrongbow	sharonclaws	Dandelion Yellow	5.0	225.0	45	world	[-10, 59, 22]
2019/02/28 05:51:55	EnDristON	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/02/28 05:51:55	EnDristON	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/02/28 05:51:56	EnDristON	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/02/28 05:51:56	EnDristON	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/02/28 05:51:57	EnDristON	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/02/28 05:51:58	EnDristON	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/02/28 05:51:58	EnDristON	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/02/28 05:52:15	EnDristON	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/03/02 03:39:19	Vallenius	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/03/03 10:00:16	magemagemege	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/03/08 12:28:23	ezrone	Remixster	Dandelion Yellow	6.25	400.0	64	world	[56, 72, 20]
2019/03/08 12:28:24	ezrone	Remixster	Dandelion Yellow	6.25	250.0	40	world	[56, 72, 20]
2019/03/10 05:23:46	__Wildfire_	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/03/13 12:25:10	NorraLigan	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/03/13 12:25:11	NorraLigan	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/03/13 12:25:12	NorraLigan	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/03/13 12:25:14	NorraLigan	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/03/13 12:26:15	NorraLigan	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/03/13 12:26:16	NorraLigan	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/03/13 12:26:17	NorraLigan	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/03/17 05:36:43	EnDristON	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/03/31 20:38:08	Vivifoxx	sharonclaws	Dandelion Yellow	5.0	5.0	1	world	[-10, 59, 22]
2019/04/13 15:41:10	magemagemege	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/04/13 15:41:10	magemagemege	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
2019/04/13 18:19:45	daboogaoogaman	sharonclaws	Dandelion Yellow	5.0	320.0	64	world	[-10, 59, 22]
