year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	21	15	26	44	Shahayhay	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	15	48	50	NullCase	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	15	51	48	Shahayhay	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	16	06	06	AteUrC00ki35	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	16	06	07	Dragonslair7	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	16	06	27	Shahayhay	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	16	06	27	PizzaJon	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	16	08	00	Vrael1	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	16	30	15	sharonclaws	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	17	22	03	Shahayhay	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	17	41	51	frozenhammerz	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	21	21	37	34	Shahayhay	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	22	19	50	19	pudzo	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	23	19	57	24	pudzo	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	24	19	22	59	frozenhammerz	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	24	20	16	42	pudzo	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	25	21	51	10	Shahayhay	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	26	12	34	54	Mr_Digs	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	27	03	29	06	Vrael1	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
2018	10	27	23	17	40	Mr_Digs	Haksndot	Dark Oak Boat	100.0	100.0	1	world_nether	[5, 113, -38]
