year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	22	05	31	11	__Wildfire_	K9us	Dark Oak Planks	91.0	5824.0	64	world	[16, 74, -15]
2018	09	29	05	25	57	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	09	29	05	25	58	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	09	29	05	25	58	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	09	29	05	25	59	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	09	29	05	25	59	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	09	29	05	26	00	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	09	29	05	26	01	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	09	29	05	26	01	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	09	29	05	26	02	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	09	29	05	26	02	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	09	29	05	26	07	MajaAstrid	K9us	Dark Oak Planks	32.0	32.0	1	world	[16, 74, -15]
2018	11	17	01	05	11	frozenhammerz	K9us	Dark Oak Planks	28.0	1568.0	56	world	[15, 72, -10]
2019	02	08	00	14	29	freakdown	K9us	Dark Oak Planks	21.0	21.0	1	world	[15, 72, -10]
2019	02	08	00	14	39	freakdown	K9us	Dark Oak Planks	21.0	21.0	1	world	[15, 72, -10]
2019	02	08	00	14	40	freakdown	K9us	Dark Oak Planks	21.0	21.0	1	world	[15, 72, -10]
2019	02	10	19	10	03	beluaeomega	K9us	Dark Oak Planks	21.0	21.0	1	world	[15, 72, -10]
2019	02	10	19	10	03	beluaeomega	K9us	Dark Oak Planks	21.0	21.0	1	world	[15, 72, -10]
2019	02	10	19	10	04	beluaeomega	K9us	Dark Oak Planks	21.0	21.0	1	world	[15, 72, -10]
2019	02	10	19	10	05	beluaeomega	K9us	Dark Oak Planks	21.0	21.0	1	world	[15, 72, -10]
2019	02	10	19	10	05	beluaeomega	K9us	Dark Oak Planks	21.0	21.0	1	world	[15, 72, -10]
2019	02	10	19	10	06	beluaeomega	K9us	Dark Oak Planks	21.0	21.0	1	world	[15, 72, -10]
