year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	05	23	20	09	Captain_Handsome	K9us	Dark Oak Sapling	300.0	300.0	1	world	[20, 71, -23]
2018	12	09	19	26	28	pudzo	K9us	Dark Oak Sapling	300.0	300.0	1	world	[20, 71, -23]
2018	12	16	11	13	24	NorraLigan	K9us	Dark Oak Sapling	300.0	15300.0	51	world	[20, 71, -23]
2019	01	24	13	25	29	monkeyboy448	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	40	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	41	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	42	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	43	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	43	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	44	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	45	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	45	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	46	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	47	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	48	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	01	19	12	49	japanimator	Haksndot	Dark Oak Sapling	100.0	100.0	1	world	[-130, 63, -30]
2019	02	28	17	31	38	AshGreninja2579	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	02	28	17	31	40	AshGreninja2579	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	02	28	17	31	42	AshGreninja2579	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	02	28	18	05	09	AshGreninja2579	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	02	28	18	05	09	AshGreninja2579	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	02	28	18	05	10	AshGreninja2579	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	02	28	18	05	10	AshGreninja2579	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	03	16	23	14	24	ZeroGDucks	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	03	16	23	14	25	ZeroGDucks	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	03	16	23	14	26	ZeroGDucks	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	03	16	23	14	26	ZeroGDucks	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	03	16	23	14	28	ZeroGDucks	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	03	16	23	14	29	ZeroGDucks	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	03	16	23	14	29	ZeroGDucks	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	03	16	23	14	30	ZeroGDucks	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	03	30	20	25	46	Cesium_Knight	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	03	30	20	25	48	Cesium_Knight	K9us	Dark Oak Sapling	176.0	8624.0	49	world	[57, 62, -42]
2019	05	03	07	25	40	frozenhammerz	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	05	03	07	25	41	frozenhammerz	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	05	03	07	25	41	frozenhammerz	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	05	04	09	03	27	Pancen	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	05	04	09	03	29	Pancen	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	05	04	09	03	29	Pancen	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
2019	05	04	09	03	30	Pancen	K9us	Dark Oak Sapling	176.0	176.0	1	world	[57, 62, -42]
