year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	06	18	35	57	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	35	57	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	35	58	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	35	59	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	00	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	00	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	01	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	02	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	03	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	03	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	11	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	11	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	12	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	12	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	13	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	14	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	14	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	15	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	15	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	16	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	16	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	17	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	17	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	18	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	19	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	19	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	20	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	21	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	22	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	23	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	23	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	24	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	25	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	25	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	26	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	26	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	32	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	33	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	33	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	06	18	36	34	Vivifoxx	K9us	Dark Oak Slab	12.0	12.0	1	world	[55, 61, -60]
2019	03	09	07	04	52	EnDristON	K9us	Dark Oak Slab	12.0	768.0	64	world	[55, 61, -60]
2019	03	09	07	04	54	EnDristON	K9us	Dark Oak Slab	12.0	768.0	64	world	[55, 61, -60]
2019	03	09	07	05	19	EnDristON	K9us	Dark Oak Slab	12.0	768.0	64	world	[55, 61, -60]
2019	03	09	07	05	20	EnDristON	K9us	Dark Oak Slab	12.0	768.0	64	world	[55, 61, -60]
