date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019/03/09 07:05:07	EnDristON	K9us	Dark Oak Stairs	28.0	1792.0	64	world	[55, 61, -63]
2019/03/09 07:05:09	EnDristON	K9us	Dark Oak Stairs	28.0	1792.0	64	world	[55, 61, -63]
2019/03/09 07:05:17	EnDristON	K9us	Dark Oak Stairs	28.0	1792.0	64	world	[55, 61, -63]
2019/03/09 07:41:32	EnDristON	K9us	Dark Oak Stairs	28.0	476.0	17	world	[55, 61, -63]
2019/05/03 06:49:10	frozenhammerz	K9us	Dark Oak Stairs	28.0	28.0	1	world	[55, 61, -63]
2019/05/03 06:49:10	frozenhammerz	K9us	Dark Oak Stairs	28.0	28.0	1	world	[55, 61, -63]
2019/05/03 06:49:11	frozenhammerz	K9us	Dark Oak Stairs	28.0	28.0	1	world	[55, 61, -63]
2019/07/05 14:50:53	Vallenius	K9us	Dark Oak Stairs	28.0	1792.0	64	world	[55, 61, -63]
2019/07/05 14:50:54	Vallenius	K9us	Dark Oak Stairs	28.0	1792.0	64	world	[55, 61, -63]
2019/07/05 14:50:55	Vallenius	K9us	Dark Oak Stairs	28.0	1792.0	64	world	[55, 61, -63]
2019/07/05 14:50:55	Vallenius	K9us	Dark Oak Stairs	28.0	1792.0	64	world	[55, 61, -63]
2019/07/05 14:50:56	Vallenius	K9us	Dark Oak Stairs	28.0	1792.0	64	world	[55, 61, -63]
2019/07/05 14:50:57	Vallenius	K9us	Dark Oak Stairs	28.0	168.0	6	world	[55, 61, -63]
