year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	03	14	09	51	51	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	03	14	09	51	53	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	03	14	09	51	56	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	03	14	09	52	01	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	03	14	09	52	02	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	03	14	09	52	03	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	03	14	09	52	04	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	03	14	09	52	05	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	05	03	06	48	59	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	05	03	06	49	00	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	05	03	06	49	01	frozenhammerz	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	07	03	17	47	00	Oaken_Ralph	K9us	Dark Oak Trapdoor	45.0	2880.0	64	world	[55, 61, -81]
2019	07	03	17	47	03	Oaken_Ralph	K9us	Dark Oak Trapdoor	45.0	2880.0	64	world	[55, 61, -81]
2019	08	30	12	10	11	Oaken_Ralph	K9us	Dark Oak Trapdoor	45.0	45.0	1	world	[55, 61, -81]
2019	08	30	12	10	14	Oaken_Ralph	K9us	Dark Oak Trapdoor	45.0	1800.0	40	world	[55, 61, -81]
