year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	29	15	08	11	sharonclaws	Cardano_ff	Dark Prismarine	50.0	400.0	8	world	[3, 67, 7]
2018	09	29	15	08	14	sharonclaws	Cardano_ff	Dark Prismarine	50.0	400.0	8	world	[3, 67, 7]
2018	09	29	15	08	15	sharonclaws	Cardano_ff	Dark Prismarine	50.0	400.0	8	world	[3, 67, 7]
2018	10	13	23	54	10	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	13	23	54	11	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	13	23	54	12	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	13	23	54	12	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	13	23	54	13	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	13	23	54	17	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	13	23	54	17	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	13	23	54	23	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	13	23	54	23	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	14	12	32	40	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	14	12	32	40	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	14	12	32	41	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	14	12	32	42	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	14	12	32	43	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	14	12	32	49	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	14	12	32	50	AteUrC00ki35	Cardano_ff	Dark Prismarine	75.0	300.0	4	world	[6, 66, 14]
2018	10	22	17	56	07	Haksndot	Cardano_ff	Dark Prismarine	75.0	75.0	1	world	[6, 66, 14]
2019	02	01	16	20	00	TheScrubJay	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[6, 66, 14]
2019	02	01	17	15	20	TheScrubJay	sharonclaws	Dark Prismarine	200.0	12200.0	61	world	[4, 66, 17]
2019	03	06	12	09	07	FatherTime__	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	06	12	09	12	FatherTime__	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	06	12	09	12	FatherTime__	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	15	20	04	14	Lego_UOE	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	03	16	12	00	19	Vivifoxx	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	12	06	09	Vivifoxx	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	12	09	52	Vivifoxx	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	03	16	12	50	59	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	12	57	43	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	12	57	44	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	12	57	45	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	12	57	46	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	12	59	18	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	12	59	24	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	18	40	17	ezrone	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	19	27	47	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	19	27	49	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	19	27	49	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	19	27	50	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	20	04	47	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	20	04	48	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	20	04	49	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	20	04	50	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	20	33	17	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	20	33	19	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	16	20	33	35	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	17	20	19	12	ezrone	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	17	20	24	43	ezrone	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	18	21	29	12	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	03	18	21	29	15	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	18	21	29	17	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	03	18	21	29	18	Colonel_Ruff	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	04	11	00	07	57	daboogaoogaman	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	04	11	00	20	26	daboogaoogaman	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	04	11	20	54	42	daboogaoogaman	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	04	11	20	54	45	daboogaoogaman	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	04	29	15	26	14	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	14	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	15	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	15	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	16	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	17	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	17	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	18	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	18	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	19	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	20	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	20	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	21	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	21	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	04	29	15	26	22	K9us	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	05	11	18	44	36	AspenGamgee	sharonclaws	Dark Prismarine	200.0	200.0	1	world	[4, 66, 17]
2019	05	26	16	51	47	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	48	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	48	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	49	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	50	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	50	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	51	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	51	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	52	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	53	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	53	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	54	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	54	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	55	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	56	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	56	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	57	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	57	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	51	58	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	24	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	25	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	26	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	26	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	27	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	27	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	28	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	29	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	29	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	30	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	30	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	31	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	32	Aewheros	sharonclaws	Dark Prismarine	200.0	12800.0	64	world	[4, 66, 17]
2019	05	26	16	52	32	Aewheros	sharonclaws	Dark Prismarine	200.0	6000.0	30	world	[4, 66, 17]
