year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	09	13	14	03	52	NullCase	sharonclaws	Diamond Axe#17	20000.0	20000.0	1	world	[-10, 64, 12]
2018	09	14	17	00	05	Shahayhay	sharonclaws	Diamond Axe#17	20000.0	20000.0	1	world	[-10, 64, 12]
2018	09	14	20	25	10	DjungelJarl	sharonclaws	Diamond Axe#17	20000.0	20000.0	1	world	[-10, 64, 12]
2018	09	23	18	04	14	Shahayhay	sharonclaws	Diamond Axe#17	20000.0	20000.0	1	world	[-10, 64, 12]
2018	09	25	03	31	57	LightsChaos	sharonclaws	Diamond Axe#17	20000.0	20000.0	1	world	[-10, 64, 12]
2018	09	25	10	28	03	Jesper1972	sharonclaws	Diamond Axe#17	20000.0	20000.0	1	world	[-10, 64, 12]
2018	09	25	12	49	12	NullCase	sharonclaws	Diamond Axe#17	20000.0	20000.0	1	world	[-10, 64, 12]
2018	09	26	12	09	51	Jesper1972	sharonclaws	Diamond Axe#17	20000.0	20000.0	1	world	[-10, 64, 12]
2018	09	28	08	32	13	Jesper1972	sharonclaws	Diamond Axe#17	15000.0	15000.0	1	world	[-10, 64, 12]
2018	09	29	03	04	33	Jesper1972	sharonclaws	Diamond Axe#17	10000.0	10000.0	1	world	[-12, 64, 13]
2018	09	30	02	38	24	Ture2012	sharonclaws	Diamond Axe#17	10000.0	10000.0	1	world	[-12, 64, 13]
2018	10	07	13	17	47	Captain_Handsome	sharonclaws	Diamond Axe#17	9000.0	9000.0	1	world	[-9, 65, 18]
2018	10	08	23	43	29	Captain_Handsome	sharonclaws	Diamond Axe#17	9000.0	9000.0	1	world	[-9, 65, 18]
2018	10	10	11	44	52	Artiist4	sharonclaws	Diamond Axe#17	9000.0	9000.0	1	world	[-9, 65, 18]
2018	10	20	01	04	16	Jesper1972	sharonclaws	Diamond Axe#17	9000.0	9000.0	1	world	[-9, 65, 18]
2018	10	22	20	54	52	Magnavox	sharonclaws	Diamond Axe#17	9000.0	9000.0	1	world	[-9, 65, 18]
2019	04	05	19	46	57	Cesium_Knight	K9us	Diamond Axe#17	2800.0	2800.0	1	world	[54, 62, -25]
2019	04	14	13	53	34	coconewell92	sharonclaws	Diamond Axe#17	1000.0	1000.0	1	world	[-5, 67, 18]
2019	04	14	21	45	40	QwubHanoj	K9us	Diamond Axe#17	2800.0	2800.0	1	world	[54, 62, -25]
2019	04	22	00	35	57	dandenoth	sharonclaws	Diamond Axe#17	1000.0	1000.0	1	world	[-5, 67, 18]
2019	04	25	16	37	01	Aewheros	sharonclaws	Diamond Axe#17	1000.0	1000.0	1	world	[-5, 67, 18]
2019	04	25	16	37	02	Aewheros	sharonclaws	Diamond Axe#17	1000.0	1000.0	1	world	[-5, 67, 18]
2019	04	25	16	37	03	Aewheros	sharonclaws	Diamond Axe#17	1000.0	1000.0	1	world	[-5, 67, 18]
2019	05	04	07	49	11	Pancen	sharonclaws	Diamond Axe#17	1000.0	1000.0	1	world	[-5, 67, 18]
2019	05	04	12	41	54	daboogaoogaman	K9us	Diamond Axe#17	2800.0	2800.0	1	world	[54, 62, -25]
2019	05	11	11	23	38	Serpentcraft	sharonclaws	Diamond Axe#17	1000.0	1000.0	1	world	[-5, 67, 18]
2019	05	26	04	02	55	daboogaoogaman	K9us	Diamond Axe#17	2800.0	2800.0	1	world	[54, 62, -25]
2019	06	02	11	02	08	Colonel_Ruff	sharonclaws	Diamond Axe#17	1000.0	1000.0	1	world	[-5, 67, 18]
2019	06	05	22	02	15	Oaken_Ralph	sharonclaws	Diamond Axe#17	1000.0	1000.0	1	world	[-5, 67, 18]
2019	06	06	10	13	17	pepparkaksgubbe	sharonclaws	Diamond Axe#17	1000.0	1000.0	1	world	[-5, 67, 18]
