year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	12	25	21	18	38	Captain_Handsome	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2018	12	26	08	24	15	Impression28	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2018	12	29	14	53	10	NorraLigan	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2018	12	31	19	30	15	magemagemege	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[47, 72, -6]
2019	01	01	12	04	56	Edwarrdd	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	01	01	19	11	46	Edwarrdd	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	01	09	03	31	24	freakdown	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2019	01	21	15	58	40	ZeroGDucks	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	01	25	13	01	18	monkeyboy448	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	01	25	19	11	36	EnDristON	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2019	01	29	22	58	43	Talrinion	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	01	30	17	02	19	nilssssss	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	01	30	17	43	18	AspenGamgee	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	01	31	18	35	42	P1st0n	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2019	01	31	21	32	42	japanimator	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2019	02	01	15	15	33	Nocturna12	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2019	02	01	19	25	20	yoikosugi	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2019	02	02	22	35	49	yoikosugi	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	02	03	11	22	40	magemagemege	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2019	02	10	18	57	33	beluaeomega	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2019	02	10	23	40	08	Talrinion	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	02	12	13	09	57	EnDristON	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	02	14	07	51	15	monkeyboy448	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	02	14	13	21	23	Vallenius	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	02	14	16	58	04	Aewheros	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2019	02	14	21	05	38	Mowilag	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[40, 72, -21]
2019	02	16	02	51	36	Vallenius	K9us	Diamond Axe#7j	3000.0	3000.0	1	world	[24, 70, -17]
2019	02	17	14	01	18	EnDristON	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	02	24	09	39	42	Dinonanna	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	03	09	07	29	Miljanee	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	06	16	53	56	Vallenius	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	06	17	45	29	ezrone	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	10	14	36	24	Talrinion	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	10	21	56	24	Colonel_Ruff	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	12	13	30	57	Miljanee	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	13	21	28	01	Vivifoxx	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	15	18	03	35	NullCase	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	24	23	29	13	ezrone	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	24	23	29	14	ezrone	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	24	23	29	15	ezrone	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	24	23	29	15	ezrone	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	26	00	01	33	Colonel_Ruff	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	03	28	17	05	52	ezrone	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
2019	04	04	20	02	48	daboogaoogaman	K9us	Diamond Axe#7j	900.0	900.0	1	world	[40, 72, -21]
