year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018	10	07	02	45	35	PizzaJon	sharonclaws	Diamond Chestplate#2q	17000.0	17000.0	1	world	[-5, 65, 18]
2018	10	08	13	13	43	3thanat0r	sharonclaws	Diamond Chestplate#2q	17000.0	17000.0	1	world	[-5, 65, 18]
2018	10	08	23	45	08	Captain_Handsome	sharonclaws	Diamond Chestplate#2q	17000.0	17000.0	1	world	[-5, 65, 18]
2018	10	10	11	44	30	Artiist4	sharonclaws	Diamond Chestplate#2q	17000.0	17000.0	1	world	[-5, 65, 18]
2018	10	12	14	40	14	Stormrunners	sharonclaws	Diamond Chestplate#2q	17000.0	17000.0	1	world	[-5, 65, 18]
2019	04	04	18	56	30	daboogaoogaman	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	04	28	13	11	11	coconewell92	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	04	28	22	54	49	AshGreninja2579	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	04	30	23	47	39	daboogaoogaman	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	05	05	02	47	52	Pancen	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	05	11	11	23	20	Serpentcraft	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	05	15	23	30	32	daboogaoogaman	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	05	18	10	37	28	pepparkaksgubbe	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	06	06	10	13	42	pepparkaksgubbe	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	06	07	02	56	25	Th3FerrariStig2	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	06	10	15	06	41	Stormchaserz	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	06	11	22	43	41	Oaken_Ralph	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	06	14	13	48	36	pepparkaksgubbe	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	06	18	04	39	56	bwes	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	06	19	05	35	59	pepparkaksgubbe	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	06	20	17	01	09	RyanJG	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	07	04	12	41	44	Th3FerrariStig2	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	07	08	13	46	29	pepparkaksgubbe	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	07	08	21	40	12	Dredhounds	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	07	09	15	56	41	ersi	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	07	12	00	36	56	kuraudosukei	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
2019	07	13	15	26	54	kuraudosukei	sharonclaws	Diamond Chestplate#2q	3000.0	3000.0	1	world	[-5, 65, 18]
