date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/24 07:19:37	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/24 07:19:37	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/24 07:19:38	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/24 07:19:39	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/25 10:28:30	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/25 10:28:31	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/25 10:28:39	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/25 10:28:47	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/25 10:29:24	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/25 10:29:25	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/25 10:29:26	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/25 10:29:26	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/25 10:29:27	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/25 10:29:28	K9us	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/10/30 13:50:32	FlarpvonKarma	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/11/07 09:45:56	Impression28	sharonclaws	Diamond Chestplate#3l	17000.0	17000.0	1	world	[-5, 65, 18]
2018/11/07 23:38:52	Cardano_ff	sharonclaws	Diamond Chestplate#3l	10000.0	10000.0	1	world	[-5, 65, 18]
2018/11/07 23:38:53	Cardano_ff	sharonclaws	Diamond Chestplate#3l	10000.0	10000.0	1	world	[-5, 65, 18]
2018/11/08 08:11:16	Impression28	sharonclaws	Diamond Chestplate#3l	10000.0	10000.0	1	world	[-5, 65, 18]
2018/11/10 07:06:31	Heronproject	sharonclaws	Diamond Chestplate#3l	10000.0	10000.0	1	world	[-5, 65, 18]
2018/11/12 09:29:41	3thanat0r	sharonclaws	Diamond Chestplate#3l	10000.0	10000.0	1	world	[-5, 65, 18]
2018/12/04 23:28:30	AteUrC00ki35	sharonclaws	Diamond Chestplate#3l	10000.0	10000.0	1	world	[-5, 65, 18]
2018/12/09 13:48:16	MemeKingAwesome	sharonclaws	Diamond Chestplate#3l	6000.0	6000.0	1	world	[-5, 65, 18]
2018/12/24 09:55:23	TheScrubJay	sharonclaws	Diamond Chestplate#3l	6000.0	6000.0	1	world	[-5, 65, 18]
2018/12/28 05:47:27	NorraLigan	sharonclaws	Diamond Chestplate#3l	6000.0	6000.0	1	world	[-5, 65, 18]
2019/01/01 08:51:56	magemagemege	sharonclaws	Diamond Chestplate#3l	6000.0	6000.0	1	world	[-5, 65, 18]
2019/01/01 19:17:35	Edwarrdd	sharonclaws	Diamond Chestplate#3l	6000.0	6000.0	1	world	[-5, 65, 18]
2019/01/07 10:17:21	TheScrubJay	sharonclaws	Diamond Chestplate#3l	6000.0	6000.0	1	world	[-5, 65, 18]
2019/01/20 01:21:17	cameronbelt	sharonclaws	Diamond Chestplate#3l	6000.0	6000.0	1	world	[-5, 65, 18]
2019/01/23 21:41:38	Stormrunners	sharonclaws	Diamond Chestplate#3l	6000.0	6000.0	1	world	[-5, 65, 18]
2019/01/28 15:18:30	Nocturna12	sharonclaws	Diamond Chestplate#3l	6000.0	6000.0	1	world	[-5, 65, 18]
2019/02/02 16:32:45	UnToasted	sharonclaws	Diamond Chestplate#3l	4000.0	4000.0	1	world	[-5, 65, 18]
2019/02/05 19:37:56	coconewell92	sharonclaws	Diamond Chestplate#3l	4000.0	4000.0	1	world	[-5, 65, 18]
2019/02/06 03:41:04	JacobSterling	sharonclaws	Diamond Chestplate#3l	4000.0	4000.0	1	world	[-5, 65, 18]
2019/02/10 18:58:38	beluaeomega	sharonclaws	Diamond Chestplate#3l	4000.0	4000.0	1	world	[-5, 65, 18]
2019/02/11 12:24:41	Talrinion	sharonclaws	Diamond Chestplate#3l	4000.0	4000.0	1	world	[-5, 65, 18]
2019/02/15 21:14:17	BelegStrongbow	sharonclaws	Diamond Chestplate#3l	4000.0	4000.0	1	world	[-5, 65, 18]
2019/03/03 12:55:41	Vivifoxx	sharonclaws	Diamond Chestplate#3l	4000.0	4000.0	1	world	[-5, 65, 18]
2019/03/04 19:02:43	TheScrubJay	sharonclaws	Diamond Chestplate#3l	3000.0	3000.0	1	world	[-5, 65, 18]
2019/03/14 19:49:24	Colonel_Ruff	sharonclaws	Diamond Chestplate#3l	3000.0	3000.0	1	world	[-5, 65, 18]
2019/03/25 20:27:19	coconewell92	sharonclaws	Diamond Chestplate#3l	3000.0	3000.0	1	world	[-5, 65, 18]
2019/03/28 22:04:15	Man_Chicken	sharonclaws	Diamond Chestplate#3l	3000.0	3000.0	1	world	[-5, 65, 18]
