year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	03	16	04	14	Mowilag	K9us	Diamond Chestplate#8j	98150.0	98150.0	1	world	[38, 82, -13]
2019	02	14	21	04	05	Mowilag	K9us	Diamond Chestplate#8j	98150.0	98150.0	1	world	[38, 82, -13]
2019	02	15	13	09	40	Vallenius	K9us	Diamond Chestplate#8j	98150.0	98150.0	1	world	[38, 82, -13]
2019	03	03	09	32	41	Miljanee	K9us	Diamond Chestplate#8j	98150.0	98150.0	1	world	[38, 82, -13]
2019	04	19	08	43	45	Miljanee	K9us	Diamond Chestplate#8j	89000.0	89000.0	1	world	[38, 82, -13]
2019	04	20	21	32	47	coconewell92	K9us	Diamond Chestplate#8j	89000.0	89000.0	1	world	[38, 82, -13]
2019	04	21	23	13	21	coconewell92	K9us	Diamond Chestplate#8j	89000.0	89000.0	1	world	[38, 82, -13]
2019	06	03	08	31	21	frozenhammerz	K9us	Diamond Chestplate#8j	89500.0	89500.0	1	world	[12, 68, -8]
2019	06	09	11	25	11	NiCe69	K9us	Diamond Chestplate#8j	89500.0	89500.0	1	world	[12, 68, -8]
2019	06	09	22	34	13	ATMA_2309	K9us	Diamond Chestplate#8j	89500.0	89500.0	1	world	[12, 68, -8]
2019	06	15	06	08	54	NiCe69	K9us	Diamond Chestplate#8j	89500.0	89500.0	1	world	[12, 68, -8]
2019	07	10	20	19	00	YungDainashi	K9us	Diamond Chestplate#8j	89500.0	89500.0	1	world	[-19, 65, 5]
2019	07	20	23	03	32	Impression28	K9us	Diamond Chestplate#8j	89500.0	89500.0	1	world	[-19, 65, 5]
