year	month	day	hour	minute	second	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2019	02	22	12	55	03	Talrinion	sharonclaws	Diamond Chestplate#8s	4500.0	4500.0	1	world	[-5, 66, 18]
2019	03	04	18	50	34	TheScrubJay	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	03	04	18	50	35	TheScrubJay	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	03	04	18	50	36	TheScrubJay	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	03	04	18	50	37	TheScrubJay	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	03	04	21	07	18	Remixster	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	03	17	17	33	31	TheScrubJay	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	03	17	17	33	31	TheScrubJay	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	03	17	17	33	33	TheScrubJay	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	03	26	03	57	24	dandenoth	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	03	30	01	46	52	dandenoth	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	04	07	14	06	24	Vivifoxx	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	04	29	22	25	59	coconewell92	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	06	17	13	13	04	NiCe69	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	06	18	11	17	01	Vivifoxx	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	06	24	08	31	14	pepparkaksgubbe	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	06	28	07	43	05	jackcam6	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	06	30	09	51	21	jackcam6	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	06	30	11	19	47	jackcam6	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	06	30	12	00	06	jackcam6	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	06	30	22	56	20	kahlayla	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	07	01	13	24	42	jackcam6	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	07	02	09	59	32	jackcam6	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	07	08	12	34	26	kuraudosukei	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	07	08	13	46	26	pepparkaksgubbe	sharonclaws	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	07	13	15	27	02	kuraudosukei	TheScrubJay	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	07	13	15	27	03	kuraudosukei	TheScrubJay	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
2019	07	14	00	55	27	kuraudosukei	TheScrubJay	Diamond Chestplate#8s	3500.0	3500.0	1	world	[-5, 66, 18]
