date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/28 03:19:31	Butokuden	K9us	Diamond Pickaxe#1e	150000.0	150000.0	1	world	[29, 83, -21]
2018/10/04 06:05:48	Haksndot	K9us	Diamond Pickaxe#1e	160000.0	160000.0	1	world	[29, 83, -21]
2018/10/05 01:42:19	Haksndot	K9us	Diamond Pickaxe#1e	160000.0	160000.0	1	world	[29, 83, -21]
2018/10/05 19:38:03	Baskerboss	K9us	Diamond Pickaxe#1e	160000.0	160000.0	1	world	[29, 83, -21]
2018/10/06 05:27:55	frozenhammerz	K9us	Diamond Pickaxe#1e	160000.0	160000.0	1	world	[29, 83, -21]
2018/10/10 21:10:03	Butokuden	K9us	Diamond Pickaxe#1e	150000.0	150000.0	1	world	[29, 83, -21]
2018/10/15 17:42:13	Butokuden	K9us	Diamond Pickaxe#1e	150000.0	150000.0	1	world	[29, 83, -21]
2018/10/17 16:06:14	LightsChaos	K9us	Diamond Pickaxe#1e	150000.0	150000.0	1	world	[29, 83, -21]
2019/04/03 19:26:46	ezrone	TheScrubJay	Diamond Pickaxe#1e	39999.0	39999.0	1	world	[-12, 65, 15]
2019/04/03 19:34:30	ezrone	TheScrubJay	Diamond Pickaxe#1e	39999.0	39999.0	1	world	[-12, 65, 15]
2019/04/04 17:58:22	ezrone	TheScrubJay	Diamond Pickaxe#1e	39999.0	39999.0	1	world	[-12, 65, 15]
2019/04/06 16:19:32	coconewell92	TheScrubJay	Diamond Pickaxe#1e	39999.0	39999.0	1	world	[-12, 65, 15]
2019/04/07 14:06:32	Vivifoxx	TheScrubJay	Diamond Pickaxe#1e	39999.0	39999.0	1	world	[-12, 65, 15]
