date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/09/02 23:54:03	pudzo	sharonclaws	Diamond Pickaxe#3	25000.0	25000.0	1	world	[-10, 64, 6]
2018/09/03 14:11:43	HandyEric3	sharonclaws	Diamond Pickaxe#3	20000.0	20000.0	1	world	[-10, 64, 9]
2018/09/03 15:27:13	L1mer	sharonclaws	Diamond Pickaxe#3	20000.0	20000.0	1	world	[-10, 64, 9]
2018/09/05 13:11:27	K9us	sharonclaws	Diamond Pickaxe#3	20000.0	20000.0	1	world	[-10, 64, 9]
2018/09/06 21:44:16	pudzo	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/06 22:29:40	Shahayhay	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/07 13:24:59	DjungelJarl	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/07 17:29:08	DjungelJarl	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/07 17:29:11	DjungelJarl	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/07 17:29:17	DjungelJarl	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/08 06:58:54	BredeBertil	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/08 08:04:56	DjungelJarl	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/08 08:13:05	DjungelJarl	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/08 08:13:06	DjungelJarl	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/08 12:17:19	Shahayhay	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/09 23:31:52	LightsChaos	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/10 19:53:15	Shahayhay	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/12 17:21:22	K9us	sharonclaws	Diamond Pickaxe#3	15000.0	15000.0	1	world	[-10, 64, 9]
2018/09/13 00:36:06	LightsChaos	sharonclaws	Diamond Pickaxe#3	10000.0	10000.0	1	world	[-12, 64, 10]
2018/09/13 00:36:08	LightsChaos	sharonclaws	Diamond Pickaxe#3	10000.0	10000.0	1	world	[-12, 64, 10]
2018/09/26 23:38:59	Butokuden	pudzo	Diamond Pickaxe#3	10000.0	10000.0	1	world	[-283, 64, -62]
2018/09/30 14:55:45	K9us	pudzo	Diamond Pickaxe#3	10000.0	10000.0	1	world	[-283, 64, -62]
2018/10/14 08:50:24	K9us	pudzo	Diamond Pickaxe#3	10000.0	10000.0	1	world	[-283, 64, -62]
2018/10/14 17:30:42	K9us	pudzo	Diamond Pickaxe#3	10000.0	10000.0	1	world	[-283, 64, -62]
