date	buyer	seller	item	price	cash_amount	item_amount	world	coordinates
2018/10/24 07:18:08	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/10/24 07:18:08	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/10/24 07:18:09	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/10/24 07:18:09	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/10/28 11:22:37	Haksndot	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/10/28 11:23:20	Haksndot	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/10/29 17:27:39	daggvad	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/10/29 18:03:29	Aewheros	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/02 04:45:08	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/02 04:45:09	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/02 04:45:10	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/02 04:45:10	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/02 04:45:11	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/02 04:45:11	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/02 04:45:12	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/02 04:45:13	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/02 04:45:13	K9us	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/04 19:25:54	pudzo	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/06 00:13:40	pudzo	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/06 19:29:40	Engineerer	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/12 20:06:16	Shahayhay	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/15 16:17:22	Rille3000	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/11/18 17:13:24	Aewheros	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/12/04 23:29:50	AteUrC00ki35	sharonclaws	Diamond Pickaxe#3i	10000.0	10000.0	1	world	[-9, 68, 18]
2018/12/09 13:47:53	MemeKingAwesome	sharonclaws	Diamond Pickaxe#3i	5000.0	5000.0	1	world	[-9, 68, 18]
2018/12/24 09:50:43	TheScrubJay	sharonclaws	Diamond Pickaxe#3i	5000.0	5000.0	1	world	[-9, 68, 18]
2019/01/19 06:33:34	Trixemfixem	K9us	Diamond Pickaxe#3i	2500.0	2500.0	1	world	[-106, 65, -4]
2019/01/24 23:56:27	Zarigan0	K9us	Diamond Pickaxe#3i	2500.0	2500.0	1	world	[-106, 65, -4]
2019/01/28 13:37:44	Nocturna12	K9us	Diamond Pickaxe#3i	2500.0	2500.0	1	world	[-106, 65, -4]
2019/01/31 18:36:14	P1st0n	sharonclaws	Diamond Pickaxe#3i	2000.0	2000.0	1	world	[-9, 68, 18]
2019/02/04 15:31:38	magemagemege	K9us	Diamond Pickaxe#3i	2500.0	2500.0	1	world	[-106, 65, -4]
2019/02/06 16:55:28	monkeyboy448	sharonclaws	Diamond Pickaxe#3i	2000.0	2000.0	1	world	[-9, 68, 18]
2019/02/11 23:47:49	freakdown	sharonclaws	Diamond Pickaxe#3i	2000.0	2000.0	1	world	[-9, 68, 18]
2019/02/12 12:46:29	EnDristON	K9us	Diamond Pickaxe#3i	2500.0	2500.0	1	world	[-106, 65, -4]
2019/02/16 12:16:35	NorraLigan	sharonclaws	Diamond Pickaxe#3i	2000.0	2000.0	1	world	[-9, 68, 18]
2019/02/19 15:08:59	BelegStrongbow	K9us	Diamond Pickaxe#3i	1700.0	1700.0	1	world	[-106, 65, -4]
2019/02/21 12:46:41	AshGreninja2579	sharonclaws	Diamond Pickaxe#3i	2000.0	2000.0	1	world	[-9, 68, 18]
2019/02/24 19:19:27	Vivifoxx	K9us	Diamond Pickaxe#3i	1700.0	1700.0	1	world	[-106, 65, -4]
2019/03/08 22:53:25	lusacu420	sharonclaws	Diamond Pickaxe#3i	2000.0	2000.0	1	world	[-9, 68, 18]
2019/03/17 17:51:30	lusacu420	sharonclaws	Diamond Pickaxe#3i	2000.0	2000.0	1	world	[-9, 68, 18]
2019/03/29 17:56:43	Cesium_Knight	sharonclaws	Diamond Pickaxe#3i	2000.0	2000.0	1	world	[-9, 68, 18]
2019/03/30 16:37:20	Man_Chicken	K9us	Diamond Pickaxe#3i	1700.0	1700.0	1	world	[-106, 65, -4]
